"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","G","A","A2","KP","AF","SOT","SOP","TkW","TLM","DIS","FS","YC","RC","ACNC","Int","IntB","CLR","CoS","BS","AER","BR","PKM","PKD","OG","GAO","MCS"
"*02lpf*","Ross Barkley","CHE/LUT","M","38","RDN","FUL 4<br/>@LUT 2 F","411.65","12.86","11%","-2%","32","30","2,614","5","4","2","44","1","19","3","19","0","56","40","6","0","8","25","2","48","66","9","44","201","0","0","0","66","171"
"*05l27*","Jarrad Branthwaite","EVE","D","39","j.l.","EVE 1<br/>@ARS 2 F","409.04","11.69","23%","-1%","35","35","3,116","3","0","0","4","1","4","0","32","2","2","19","8","0","1","50","12","157","5","36","95","181","0","1","0","44","1,080"
"*06cm1*","Nicolas Jackson","CHE","F","40","Laeka B","BOU 1<br/>@CHE 2 F","406","11.6","23%","0%","35","31","2,787","14","5","0","39","1","41","2","13","0","67","40","10","0","0","4","0","17","54","5","35","99","0","0","0","48","525"
"*05uns*","Leon Bailey","AVL","M,F","41","RDN","AVL 0<br/>@CRY 5 F","405.67","11.59","2%","0%","35","22","2,045","10","9","0","52","2","18","1","7","0","41","26","5","0","12","9","0","4","57","1","15","107","0","0","0","32","443"
"*0646f*","Alexander Isak","NEW","F","42","W’s","NEW 4<br/>@BRF 2 F","405.5","13.52","90%","-3%","30","27","2,248","21","2","0","27","2","43","1","0","0","23","15","1","0","0","6","0","12","42","1","9","38","1","1","0","41","465"
"*067yz*","Matheus Cunha","WOL","F","43","RDN","WOL 0<br/>@LIV 2 F","405.25","12.66","100%","0%","32","29","2,433","12","7","0","28","0","38","2","16","0","53","50","9","0","2","13","0","20","64","7","16","114","0","1","0","46","339"
"*04qfz*","Diogo Dalot","MUN","D","44","Slab","MUN 2<br/>@BHA 0 F","403.14","11.2","83%","-2%","36","35","3,171","2","3","0","38","0","7","2","51","0","11","14","4","1","24","37","6","94","31","16","32","195","0","0","0","55","718"
"*0414o*","James Maddison","TOT","M","45","MID","TOT 3<br/>@SHU 0 F","399.7","14.28","43%","+6%","28","26","2,129","4","9","1","67","2","23","0","19","0","34","74","5","0","10","13","1","8","32","3","3","60","0","0","0","31","491"
"*05nzu*","Gabriel Magalhaes","ARS","D","46","RDN","EVE 1<br/>@ARS 2 F","397.65","11.05","100%","0%","36","34","3,040","3","0","0","3","1","10","0","28","2","3","34","4","0","1","31","8","97","2","33","79","136","0","0","1","26","1,449"
"*06fg0*","Gustavo Hamer","SHU","M","47","RDN","TOT 3<br/>@SHU 0 F","397.25","11.03","0%","0%","36","34","2,906","4","6","1","70","1","15","0","21","1","17","17","9","0","13","29","2","32","28","9","6","162","0","0","0","83","90"
"*04fk6*","Bernardo Silva","MCI","M","48","Noah B","WHU 1<br/>@MCI 3 F","395.98","12","94%","0%","33","29","2,571","6","9","0","64","0","15","0","23","0","34","26","8","0","17","17","2","12","38","4","2","102","0","0","0","26","899"
"*0522h*","Alexis Mac Allister","LIV","M","49","CC FC","WOL 0<br/>@LIV 2 F","395.11","11.97","85%","-2%","33","31","2,596","5","5","0","47","0","9","0","55","2","35","47","7","1","4","35","3","25","18","8","31","195","0","0","0","34","573"
"*05gcp*","Tomas Soucek","WHU","M","50","MID","WHU 1<br/>@MCI 3 F","393.75","10.64","43%","-3%","37","34","2,864","7","2","0","20","0","15","1","35","0","12","24","7","0","2","37","11","107","4","28","108","151","0","0","0","64","450"
"*051k0*","John McGinn","AVL","M","51","thomas","AVL 0<br/>@CRY 5 F","388.07","11.09","69%","0%","35","35","2,998","6","4","1","44","1","16","0","35","0","61","69","9","1","18","21","3","18","55","4","9","161","0","0","0","52","592"
"*0647t*","Lucas Paqueta","WHU","M","52","Slab","WHU 1<br/>@MCI 3 F","384.04","12.39","32%","0%","31","31","2,619","4","6","1","43","0","11","2","48","0","81","66","10","0","10","21","1","25","41","1","61","194","0","0","0","52","296"
"*060wh*","Alejandro Garnacho","MUN","M","53","MID","MUN 2<br/>@BHA 0 F","383.69","10.66","28%","-1%","36","30","2,550","7","4","0","46","3","28","0","15","0","49","54","4","0","7","18","0","12","48","2","7","106","0","2","0","39","625"
