year,week,t1_team,t2_team,t1_score,t2_score
2018,1,Culture Change,Blake's Team,56.75,78.0
2018,1,2 More Years of Fellaini,Aubazette FC,132.5,78.25
2018,1,Ashley notso Young,Firmino's 1st Friend,131.0,86.0
2018,1,Romelu Bukake,Tim's Team,71.25,82.25
2018,1,Team I_am_Tim,Sturridge's Comeback Tour,72.5,118.5
2018,1,Woot's Team,Ry Rob's Team,118.25,50.0
2018,2,Ry Rob's Team,Culture Change,118.5,43.25
2018,2,2 More Years of Fellaini,Woot's Team,111.75,102.25
2018,2,Aubazette FC,Romelu Bukake,81.25,69.0
2018,2,Blake's Team,Firmino's 1st Friend,52.75,129.0
2018,2,Sturridge's Comeback Tour,Ashley notso Young,136.0,117.75
2018,2,Tim's Team,Team I_am_Tim,92.0,95.0
2018,3,Culture Change,2 More Years of Fellaini,93.25,119.0
2018,3,Ashley notso Young,Tim's Team,104.0,92.25
2018,3,Blake's Team,Sturridge's Comeback Tour,55.75,69.25
2018,3,Firmino's 1st Friend,Ry Rob's Team,133.5,99.5
2018,3,Team I_am_Tim,Romelu Bukake,88.0,110.25
2018,3,Woot's Team,Aubazette FC,56.25,67.0
2018,4,Woot's Team,Culture Change,105.75,76.0
2018,4,2 More Years of Fellaini,Firmino's 1st Friend,94.25,95.5
2018,4,Aubazette FC,Team I_am_Tim,101.0,71.5
2018,4,Romelu Bukake,Ashley notso Young,92.0,83.0
2018,4,Ry Rob's Team,Sturridge's Comeback Tour,80.25,91.5
2018,4,Tim's Team,Blake's Team,91.75,65.0
2018,5,Culture Change,Aubazette FC,63.0,89.75
2018,5,Ashley notso Young,Team I_am_Tim,106.0,99.0
2018,5,Blake's Team,Romelu Bukake,81.0,94.75
2018,5,Firmino's 1st Friend,Woot's Team,58.75,107.5
2018,5,Ry Rob's Team,Tim's Team,43.75,82.0
2018,5,Sturridge's Comeback Tour,2 More Years of Fellaini,154.25,115.5
2018,6,Culture Change,Firmino's 1st Friend,122.75,36.0
2018,6,2 More Years of Fellaini,Tim's Team,87.0,93.0
2018,6,Aubazette FC,Ashley notso Young,136.25,114.0
2018,6,Romelu Bukake,Ry Rob's Team,63.5,46.5
2018,6,Team I_am_Tim,Blake's Team,133.25,76.75
