year,week,t1_team,t2_team,t1_score,t2_score
2023,1,1-Koke Vegas,1-ComeBack Szn,131.95,134.75
2023,1,1-Barkley’s Balls Sponsored by Baileys,1 - The Narrative,98.0,108.75
2023,1,1-Greek Prison XI,1-OGBEAN'S,73.24,185.0
2023,1,1-The Dentist,1-Check Complete FC,148.45,112.24
2023,1,1-bruNO HARD FEELINGS,1-Burnley and Old Trafford,122.62,152.0
2023,1,1-rice cooker,1-john lim,132.49,122.25
2023,1,2- Martins Men,2-Soccer F.C,107.7,99.0
2023,1,2-100 Virgils,2-Diamond Dogs,91.69,109.25
2023,1,2-Diego Luna Fan Page,2-FC Becky-Lowe-Na,114.74,76.25
2023,1,2-Lads FC,2-Roy Kent's U8 Girls,112.0,150.35
2023,1,2-Matt Turner Overdrive,2-Wild Boars United,131.75,133.23
2023,1,"2-good kev, m.A.A.d eze",2-FC Bofa,151.24,126.25
2023,1,3- Mickey Mount Clubhouse,3-Shaq Moore Fan SC,147.24,64.25
2023,1,3-Bench Warmers FC,3-Dijk in Diaz,85.0,108.25
2023,1,3-Fati Dati,"3- if u lose 2 me, that is embarrassing",120.5,54.0
2023,1,3-Gallagher? I hardly know her,3-Rainy Night at Stoke,107.75,140.75
2023,1,3-Jamie's Tartts,3-UPSL Part Time Athletes,177.37,155.86
2023,1,3-Thrifty FC,3-An Actual Job Haver,122.45,130.5
2023,2,1-Burnley and Old Trafford,1-Koke Vegas,131.53,113.75
2023,2,1 - The Narrative,1-john lim,125.8,102.24
2023,2,1-Check Complete FC,1-rice cooker,122.23,90.8
2023,2,1-ComeBack Szn,1-The Dentist,104.62,144.02
2023,2,1-OGBEAN'S,1-Barkley’s Balls Sponsored by Baileys,87.75,104.5
2023,2,1-bruNO HARD FEELINGS,1-Greek Prison XI,117.15,96.27
2023,2,2-Diamond Dogs,"2-good kev, m.A.A.d eze",160.0,160.75
2023,2,2-FC Becky-Lowe-Na,2-100 Virgils,138.27,66.5
2023,2,2-Lads FC,2- Martins Men,107.81,142.98
2023,2,2-Roy Kent's U8 Girls,2-Diego Luna Fan Page,87.22,74.3
2023,2,2-Soccer F.C,2-Matt Turner Overdrive,48.5,100.77
2023,2,2-Wild Boars United,2-FC Bofa,108.25,102.75
2023,2,"3- if u lose 2 me, that is embarrassing",3-Gallagher? I hardly know her,57.57,126.02
2023,2,3-An Actual Job Haver,3-Jamie's Tartts,118.21,128.0
2023,2,3-Dijk in Diaz,3-Rainy Night at Stoke,86.35,132.0
2023,2,3-Shaq Moore Fan SC,3-Bench Warmers FC,58.3,162.37
2023,2,3-Thrifty FC,3- Mickey Mount Clubhouse,67.95,121.75
2023,2,3-UPSL Part Time Athletes,3-Fati Dati,114.75,88.95
2023,3,1-The Dentist,1-Koke Vegas,135.5,105.31
2023,3,1 - The Narrative,1-Check Complete FC,132.4,72.89
2023,3,1-Barkley’s Balls Sponsored by Baileys,1-bruNO HARD FEELINGS,116.1,178.5
2023,3,1-Greek Prison XI,1-Burnley and Old Trafford,102.25,125.0
2023,3,1-john lim,1-OGBEAN'S,152.5,198.22
2023,3,1-rice cooker,1-ComeBack Szn,66.5,148.75
2023,3,2- Martins Men,2-Roy Kent's U8 Girls,118.67,137.75
2023,3,2-100 Virgils,2-Diego Luna Fan Page,133.25,120.75
2023,3,2-FC Bofa,2-Soccer F.C,160.56,71.75
2023,3,2-Matt Turner Overdrive,2-Lads FC,105.5,162.4
2023,3,2-Wild Boars United,2-Diamond Dogs,123.05,125.25
2023,3,"2-good kev, m.A.A.d eze",2-FC Becky-Lowe-Na,102.5,98.39
2023,3,3- Mickey Mount Clubhouse,3-An Actual Job Haver,156.75,83.5
2023,3,3-Bench Warmers FC,3-Thrifty FC,102.25,134.3
2023,3,3-Dijk in Diaz,"3- if u lose 2 me, that is embarrassing",138.4,87.75
2023,3,3-Fati Dati,3-Jamie's Tartts,106.64,111.5
2023,3,3-Gallagher? I hardly know her,3-UPSL Part Time Athletes,128.17,89.81
2023,3,3-Rainy Night at Stoke,3-Shaq Moore Fan SC,122.0,157.0
2023,4,1-Koke Vegas,1-rice cooker,145.75,94.24
2023,4,1-Burnley and Old Trafford,1-The Dentist,130.0,172.17
2023,4,1-ComeBack Szn,1 - The Narrative,69.75,128.5
2023,4,1-Greek Prison XI,1-Barkley’s Balls Sponsored by Baileys,140.25,81.75
2023,4,1-OGBEAN'S,1-Check Complete FC,162.75,85.95
2023,4,1-bruNO HARD FEELINGS,1-john lim,86.5,112.5
2023,4,2- Martins Men,2-Matt Turner Overdrive,106.75,123.0
2023,4,2-Diego Luna Fan Page,"2-good kev, m.A.A.d eze",100.0,110.0
2023,4,2-FC Becky-Lowe-Na,2-Wild Boars United,78.74,143.17
2023,4,2-Lads FC,2-FC Bofa,138.5,115.25
2023,4,2-Roy Kent's U8 Girls,2-100 Virgils,91.5,54.2
2023,4,2-Soccer F.C,2-Diamond Dogs,67.95,149.25
2023,4,3- Mickey Mount Clubhouse,3-Bench Warmers FC,103.25,149.19
2023,4,3-An Actual Job Haver,3-Fati Dati,90.5,94.75
2023,4,3-Jamie's Tartts,3-Gallagher? I hardly know her,84.0,58.25
2023,4,3-Shaq Moore Fan SC,"3- if u lose 2 me, that is embarrassing",74.0,47.75
2023,4,3-Thrifty FC,3-Rainy Night at Stoke,123.25,140.17
2023,4,3-UPSL Part Time Athletes,3-Dijk in Diaz,131.75,119.5
2023,5,1 - The Narrative,1-Koke Vegas,133.05,102.39
2023,5,1-Barkley’s Balls Sponsored by Baileys,1-Burnley and Old Trafford,81.75,159.63
2023,5,1-Check Complete FC,1-bruNO HARD FEELINGS,77.57,116.43
2023,5,1-OGBEAN'S,1-ComeBack Szn,142.35,65.5
2023,5,1-john lim,1-Greek Prison XI,141.22,105.14
2023,5,1-rice cooker,1-The Dentist,104.73,72.92
2023,5,2-Diamond Dogs,2-Lads FC,102.77,148.5
2023,5,2-FC Bofa,2- Martins Men,138.41,63.49
2023,5,2-Matt Turner Overdrive,2-Roy Kent's U8 Girls,122.45,119.75
2023,5,2-Soccer F.C,2-FC Becky-Lowe-Na,62.07,71.0
2023,5,2-Wild Boars United,2-Diego Luna Fan Page,80.5,102.0
2023,5,"2-good kev, m.A.A.d eze",2-100 Virgils,96.39,98.94
2023,5,"3- if u lose 2 me, that is embarrassing",3-Thrifty FC,65.97,80.5
2023,5,3-Bench Warmers FC,3-An Actual Job Haver,89.5,73.0
2023,5,3-Dijk in Diaz,3-Jamie's Tartts,144.5,86.55
2023,5,3-Gallagher? I hardly know her,3-Fati Dati,87.61,135.39
2023,5,3-Rainy Night at Stoke,3- Mickey Mount Clubhouse,99.0,126.27
2023,5,3-Shaq Moore Fan SC,3-UPSL Part Time Athletes,72.3,87.46
2023,6,1-Koke Vegas,1-OGBEAN'S,98.5,132.5
2023,6,1-Barkley’s Balls Sponsored by Baileys,1-john lim,124.17,117.75
2023,6,1-Burnley and Old Trafford,1-rice cooker,191.7,108.89
2023,6,1-Greek Prison XI,1-Check Complete FC,104.75,118.52
2023,6,1-The Dentist,1 - The Narrative,78.75,73.45
2023,6,1-bruNO HARD FEELINGS,1-ComeBack Szn,128.97,129.02
2023,6,2- Martins Men,2-Diamond Dogs,101.75,91.2
2023,6,2-100 Virgils,2-Wild Boars United,87.25,149.1
2023,6,2-Diego Luna Fan Page,2-Soccer F.C,112.75,96.23
2023,6,2-Lads FC,2-FC Becky-Lowe-Na,81.75,136.24
2023,6,2-Matt Turner Overdrive,2-FC Bofa,64.41,129.75
2023,6,2-Roy Kent's U8 Girls,"2-good kev, m.A.A.d eze",120.77,69.32
2023,6,3- Mickey Mount Clubhouse,"3- if u lose 2 me, that is embarrassing",115.16,87.82
2023,6,3-An Actual Job Haver,3-Gallagher? I hardly know her,84.07,92.95
2023,6,3-Bench Warmers FC,3-Rainy Night at Stoke,136.25,120.85
2023,6,3-Fati Dati,3-Dijk in Diaz,136.64,115.6
2023,6,3-Jamie's Tartts,3-Shaq Moore Fan SC,113.96,108.25
2023,6,3-Thrifty FC,3-UPSL Part Time Athletes,124.38,92.0
2023,7,1-bruNO HARD FEELINGS,1-Koke Vegas,131.79,133.75
2023,7,1 - The Narrative,1-rice cooker,142.6,139.64
2023,7,1-Check Complete FC,1-Barkley’s Balls Sponsored by Baileys,118.98,122.95
2023,7,1-ComeBack Szn,1-Greek Prison XI,155.23,57.25
2023,7,1-OGBEAN'S,1-The Dentist,167.95,213.75
2023,7,1-john lim,1-Burnley and Old Trafford,126.33,118.5
2023,7,2-Diamond Dogs,2-Matt Turner Overdrive,133.04,68.39
2023,7,2-FC Becky-Lowe-Na,2- Martins Men,121.75,134.48
2023,7,2-FC Bofa,2-Roy Kent's U8 Girls,195.25,150.1
2023,7,2-Lads FC,2-Diego Luna Fan Page,128.72,162.44
2023,7,2-Soccer F.C,2-100 Virgils,94.71,172.5
2023,7,2-Wild Boars United,"2-good kev, m.A.A.d eze",132.46,97.97
2023,7,"3- if u lose 2 me, that is embarrassing",3-Bench Warmers FC,78.0,137.5
2023,7,3-Dijk in Diaz,3-Gallagher? I hardly know her,183.67,117.0
2023,7,3-Rainy Night at Stoke,3-An Actual Job Haver,134.98,120.75
2023,7,3-Shaq Moore Fan SC,3-Fati Dati,179.5,137.5
2023,7,3-Thrifty FC,3-Jamie's Tartts,76.56,116.46
2023,7,3-UPSL Part Time Athletes,3- Mickey Mount Clubhouse,110.48,134.01
2023,8,1-Greek Prison XI,1-Koke Vegas,114.25,121.48
2023,8,1-Barkley’s Balls Sponsored by Baileys,1-ComeBack Szn,112.0,91.0
2023,8,1-Burnley and Old Trafford,1 - The Narrative,137.75,93.0
2023,8,1-The Dentist,1-bruNO HARD FEELINGS,82.4,139.44
2023,8,1-john lim,1-Check Complete FC,110.98,90.0
2023,8,1-rice cooker,1-OGBEAN'S,80.25,140.08
2023,8,2- Martins Men,2-Diego Luna Fan Page,81.75,151.0
2023,8,2-100 Virgils,2-Lads FC,90.75,108.9
2023,8,2-FC Bofa,2-Diamond Dogs,92.23,143.69
2023,8,2-Matt Turner Overdrive,2-FC Becky-Lowe-Na,63.58,108.25
2023,8,2-Roy Kent's U8 Girls,2-Wild Boars United,91.73,77.58
2023,8,"2-good kev, m.A.A.d eze",2-Soccer F.C,134.5,71.25
2023,8,3- Mickey Mount Clubhouse,3-Jamie's Tartts,156.69,89.75
2023,8,3-An Actual Job Haver,3-Dijk in Diaz,95.5,139.9
2023,8,3-Bench Warmers FC,3-UPSL Part Time Athletes,86.25,69.5
2023,8,3-Fati Dati,3-Thrifty FC,63.75,69.81
2023,8,3-Gallagher? I hardly know her,3-Shaq Moore Fan SC,117.5,121.25
2023,8,3-Rainy Night at Stoke,"3- if u lose 2 me, that is embarrassing",92.5,103.25
2023,9,1-Koke Vegas,1-Barkley’s Balls Sponsored by Baileys,100.0,155.54
2023,9,1-Check Complete FC,1-Burnley and Old Trafford,92.14,118.83
2023,9,1-ComeBack Szn,1-john lim,85.0,130.75
2023,9,1-Greek Prison XI,1-The Dentist,119.63,112.42
2023,9,1-OGBEAN'S,1 - The Narrative,121.9,123.5
2023,9,1-bruNO HARD FEELINGS,1-rice cooker,151.77,125.75
2023,9,2- Martins Men,2-100 Virgils,91.25,100.57
2023,9,2-Diamond Dogs,2-Roy Kent's U8 Girls,165.58,67.5
2023,9,2-Diego Luna Fan Page,2-Matt Turner Overdrive,132.25,63.0
2023,9,2-FC Becky-Lowe-Na,2-FC Bofa,87.97,126.25
2023,9,2-Lads FC,"2-good kev, m.A.A.d eze",149.17,127.13
2023,9,2-Soccer F.C,2-Wild Boars United,70.97,141.67
2023,9,3- Mickey Mount Clubhouse,3-Fati Dati,76.5,153.36
2023,9,"3- if u lose 2 me, that is embarrassing",3-An Actual Job Haver,110.75,65.25
2023,9,3-Jamie's Tartts,3-Bench Warmers FC,72.0,135.83
2023,9,3-Shaq Moore Fan SC,3-Dijk in Diaz,82.75,138.71
2023,9,3-Thrifty FC,3-Gallagher? I hardly know her,95.15,117.75
2023,9,3-UPSL Part Time Athletes,3-Rainy Night at Stoke,86.75,163.59
2023,9,1-Koke Vegas,3-Thrifty FC,100.0,95.15
2023,9,2- Martins Men,2-FC Becky-Lowe-Na,91.25,87.97
2023,9,2-Matt Turner Overdrive,1-OGBEAN'S,63.0,121.9
2023,9,"3- if u lose 2 me, that is embarrassing",2-Roy Kent's U8 Girls,110.75,67.5
2023,9,3-Bench Warmers FC,3-Gallagher? I hardly know her,135.83,117.75
2023,9,3-Jamie's Tartts,3-Fati Dati,72.0,153.36
2023,9,1-ComeBack Szn,"2-good kev, m.A.A.d eze",85.0,127.13
2023,9,3- Mickey Mount Clubhouse,3-An Actual Job Haver,76.5,65.25
2023,9,3-UPSL Part Time Athletes,2-Diamond Dogs,86.75,165.58
2023,9,1 - The Narrative,1-rice cooker,123.5,125.75
2023,9,1-The Dentist,1-Greek Prison XI,112.42,119.63
2023,9,3-Rainy Night at Stoke,2-Lads FC,163.59,149.17
2023,9,1-Burnley and Old Trafford,2-100 Virgils,118.83,100.57
2023,9,1-Check Complete FC,2-FC Bofa,92.14,126.25
2023,9,2-Diego Luna Fan Page,2-Wild Boars United,132.25,141.67
