year,week,t1_team,t2_team,t1_score,t2_score
2020,1,Jesse's Last Touch,Werner's Weiners,48.5,93.5
2020,1,Gerrard's Firm-footed Rangers,Oliver McBurnie's 7.36 FP/G,75.75,112.75
2020,1,Midtable Merchant,Leo Gerard U1s Team,123.5,54.75
2020,1,Never wanted him anyway,Team I_am_Tim,112.75,64.25
2020,1,Tim's Team,The Celtic of FPL,90.5,85.0
2020,2,Leo Gerard U1s Team,Jesse's Last Touch,83.5,87.0
2020,2,Midtable Merchant,Gerrard's Firm-footed Rangers,95.75,127.0
2020,2,Oliver McBurnie's 7.36 FP/G,Never wanted him anyway,72.5,122.75
2020,2,The Celtic of FPL,Team I_am_Tim,62.25,80.75
2020,2,Werner's Weiners,Tim's Team,102.5,137.0
2020,3,Tim's Team,Jesse's Last Touch,64.75,63.75
2020,3,Gerrard's Firm-footed Rangers,Leo Gerard U1s Team,53.0,74.5
2020,3,Never wanted him anyway,Midtable Merchant,29.75,134.0
2020,3,Team I_am_Tim,Werner's Weiners,45.75,151.75
2020,3,The Celtic of FPL,Oliver McBurnie's 7.36 FP/G,85.5,71.25
2020,4,Jesse's Last Touch,Team I_am_Tim,55.25,87.75
2020,4,Gerrard's Firm-footed Rangers,Never wanted him anyway,97.75,55.5
2020,4,Leo Gerard U1s Team,Tim's Team,146.75,113.0
2020,4,Midtable Merchant,The Celtic of FPL,67.25,131.25
2020,4,Werner's Weiners,Oliver McBurnie's 7.36 FP/G,46.75,78.5
2020,5,Oliver McBurnie's 7.36 FP/G,Jesse's Last Touch,68.5,86.0
2020,5,Never wanted him anyway,Leo Gerard U1s Team,70.0,151.75
2020,5,Team I_am_Tim,Tim's Team,89.5,115.0
2020,5,The Celtic of FPL,Gerrard's Firm-footed Rangers,101.75,96.0
2020,5,Werner's Weiners,Midtable Merchant,113.5,83.0
2020,6,Jesse's Last Touch,Midtable Merchant,103.25,97.25
2020,6,Gerrard's Firm-footed Rangers,Werner's Weiners,109.0,75.75
2020,6,Leo Gerard U1s Team,Team I_am_Tim,56.5,63.0
2020,6,Never wanted him anyway,The Celtic of FPL,121.0,67.75
2020,6,Tim's Team,Oliver McBurnie's 7.36 FP/G,85.25,58.25
2020,7,Jesse's Last Touch,Gerrard's Firm-footed Rangers,82.0,119.0
2020,7,Midtable Merchant,Tim's Team,126.25,83.5
2020,7,Oliver McBurnie's 7.36 FP/G,Team I_am_Tim,79.75,74.75
2020,7,The Celtic of FPL,Leo Gerard U1s Team,116.25,79.25
2020,7,Werner's Weiners,Never wanted him anyway,103.75,72.0
2020,8,Never wanted him anyway,Jesse's Last Touch,71.25,38.5
2020,8,Leo Gerard U1s Team,Oliver McBurnie's 7.36 FP/G,148.0,145.5
2020,8,Team I_am_Tim,Midtable Merchant,68.75,64.5
2020,8,The Celtic of FPL,Werner's Weiners,160.25,142.25
2020,8,Tim's Team,Gerrard's Firm-footed Rangers,71.5,91.0
2020,9,Jesse's Last Touch,The Celtic of FPL,62.0,52.0
2020,9,Gerrard's Firm-footed Rangers,Team I_am_Tim,97.5,110.5
2020,9,Midtable Merchant,Oliver McBurnie's 7.36 FP/G,87.75,99.5
2020,9,Tim's Team,Never wanted him anyway,113.5,90.0
2020,9,Werner's Weiners,Leo Gerard U1s Team,166.5,105.5
2020,10,Werner's Weiners,Jesse's Last Touch,87.75,49.5
2020,10,Leo Gerard U1s Team,Midtable Merchant,142.0,93.5
2020,10,Oliver McBurnie's 7.36 FP/G,Gerrard's Firm-footed Rangers,129.0,73.5
2020,10,Team I_am_Tim,Never wanted him anyway,81.25,69.75
2020,10,The Celtic of FPL,Tim's Team,99.5,103.25
2020,11,Jesse's Last Touch,Leo Gerard U1s Team,136.5,104.0
2020,11,Gerrard's Firm-footed Rangers,Midtable Merchant,58.5,111.75
2020,11,Never wanted him anyway,Oliver McBurnie's 7.36 FP/G,65.75,101.5
2020,11,Team I_am_Tim,The Celtic of FPL,69.25,96.0
2020,11,Tim's Team,Werner's Weiners,72.5,117.25
2020,12,Jesse's Last Touch,Tim's Team,88.5,106.75
2020,12,Leo Gerard U1s Team,Gerrard's Firm-footed Rangers,83.25,141.5
2020,12,Midtable Merchant,Never wanted him anyway,114.0,76.0
2020,12,Oliver McBurnie's 7.36 FP/G,The Celtic of FPL,129.5,102.25
