year,week,t1_team,t2_team,t1_score,t2_score
2024,1,1-Cruel Summerville,1-Morgan Rodgers Neighborhood,123.6,113.49
2024,1,1 - Law of Averages,1-The Riesterer Bunny,101.81,95.6
2024,1,1-Diamond Dogs,1-Check Complete FC,94.65,78.42
2024,1,1-Dirty little Slot,1-The Madd Hatters,100.31,138.44
2024,1,1-Mateta’s Muppets,1-Tim's Team,81.98,66.5
2024,1,1-john lim,1- Schärholder Value,102.86,117.78
2024,1,2-Arteta's Angels,2-FC Bofa,133.81,56.46
2024,1,2-Greek Prison XI,2-Wild Boars United,88.62,133.86
2024,1,2-Rainy Night at Stoke,2-McGinn and Tonic,82.36,88.91
2024,1,2-Reeces (broken to) Pieces,2-Lads FC,102.48,109.54
2024,1,2-Roy Kent's U8 Girls,2-100 Virgils,89.9,129.47
2024,1,"2-good kev, m.A.A.d eze",2-Diego Luna Fan Page,74.52,107.59
2024,1,3- Ornaldo Perfect Brothers & Sisters,3- Mickey Mount Clubhouse,66.25,124.65
2024,1,"3- if u lose 2 me, that is embarrassing",3-Ajer & Big Justice,83.53,120.62
2024,1,3-Down with the Thickness,3-Bench Warmers FC,96.6,86.15
2024,1,3-Hakuna Mateta,3-Shaq Moore Fan SC,70.29,167.99
2024,1,3-Kelly’s Seagulls,3-Dijk in Diaz,90.73,61.49
2024,1,3-Onana What's my name,3-Young Munoz $$,109.01,120.7
2024,2,1-Morgan Rodgers Neighborhood,1-Check Complete FC,93.0,83.54
2024,2,1- Schärholder Value,1-Mateta’s Muppets,99.24,99.0
2024,2,1-The Madd Hatters,1-Diamond Dogs,118.27,150.98
2024,2,1-The Riesterer Bunny,1-Cruel Summerville,153.48,78.25
2024,2,1-Tim's Team,1-Dirty little Slot,137.05,127.31
2024,2,1-john lim,1 - Law of Averages,103.71,155.43
2024,2,2-100 Virgils,2-Arteta's Angels,130.73,76.18
2024,2,2-Diego Luna Fan Page,2-Reeces (broken to) Pieces,139.4,95.46
2024,2,2-FC Bofa,2-Rainy Night at Stoke,62.74,128.23
2024,2,2-Lads FC,2-Wild Boars United,131.97,103.69
2024,2,2-McGinn and Tonic,2-Greek Prison XI,150.23,105.3
2024,2,2-Roy Kent's U8 Girls,"2-good kev, m.A.A.d eze",68.49,124.0
2024,2,3-Ajer & Big Justice,3- Mickey Mount Clubhouse,97.7,64.72
2024,2,3-Bench Warmers FC,3- Ornaldo Perfect Brothers & Sisters,121.96,116.98
2024,2,3-Dijk in Diaz,"3- if u lose 2 me, that is embarrassing",96.3,103.24
2024,2,3-Onana What's my name,3-Kelly’s Seagulls,134.97,124.36
2024,2,3-Shaq Moore Fan SC,3-Down with the Thickness,120.85,124.32
2024,2,3-Young Munoz $$,3-Hakuna Mateta,117.99,67.71
2024,3,1-Morgan Rodgers Neighborhood,1-The Madd Hatters,118.25,103.21
2024,3,1 - Law of Averages,1- Schärholder Value,118.25,90.0
2024,3,1-Check Complete FC,1-The Riesterer Bunny,98.99,141.75
2024,3,1-Cruel Summerville,1-john lim,103.5,78.0
2024,3,1-Diamond Dogs,1-Tim's Team,101.24,123.5
2024,3,1-Dirty little Slot,1-Mateta’s Muppets,118.99,75.75
2024,3,2-Greek Prison XI,2-FC Bofa,81.0,54.5
2024,3,2-Lads FC,2-McGinn and Tonic,98.23,100.0
2024,3,2-Rainy Night at Stoke,2-Arteta's Angels,123.75,142.5
2024,3,2-Reeces (broken to) Pieces,2-Roy Kent's U8 Girls,80.74,90.75
2024,3,2-Wild Boars United,2-Diego Luna Fan Page,114.71,86.0
2024,3,"2-good kev, m.A.A.d eze",2-100 Virgils,126.5,105.25
2024,3,3- Mickey Mount Clubhouse,3-Dijk in Diaz,143.73,89.0
2024,3,3- Ornaldo Perfect Brothers & Sisters,3-Shaq Moore Fan SC,113.25,152.75
2024,3,"3- if u lose 2 me, that is embarrassing",3-Onana What's my name,51.75,104.21
2024,3,3-Ajer & Big Justice,3-Bench Warmers FC,110.75,104.99
2024,3,3-Down with the Thickness,3-Hakuna Mateta,75.25,57.5
2024,3,3-Kelly’s Seagulls,3-Young Munoz $$,88.0,118.75
2024,4,1-Tim's Team,1-Morgan Rodgers Neighborhood,141.66,138.23
2024,4,1 - Law of Averages,1-Cruel Summerville,134.99,75.14
2024,4,1- Schärholder Value,1-Dirty little Slot,89.22,77.74
2024,4,1-Mateta’s Muppets,1-Diamond Dogs,125.75,82.24
2024,4,1-The Riesterer Bunny,1-The Madd Hatters,94.24,97.13
2024,4,1-john lim,1-Check Complete FC,80.55,118.99
2024,4,2-100 Virgils,2-Rainy Night at Stoke,82.24,103.54
2024,4,2-Arteta's Angels,2-Greek Prison XI,91.85,154.23
2024,4,2-Diego Luna Fan Page,2-McGinn and Tonic,125.16,136.99
2024,4,2-FC Bofa,2-Lads FC,112.38,89.75
2024,4,2-Roy Kent's U8 Girls,2-Wild Boars United,75.73,68.14
2024,4,"2-good kev, m.A.A.d eze",2-Reeces (broken to) Pieces,98.49,134.48
2024,4,3-Dijk in Diaz,3-Bench Warmers FC,68.75,104.81
2024,4,3-Hakuna Mateta,3- Ornaldo Perfect Brothers & Sisters,131.13,144.1
2024,4,3-Kelly’s Seagulls,"3- if u lose 2 me, that is embarrassing",114.97,105.5
2024,4,3-Onana What's my name,3- Mickey Mount Clubhouse,99.36,98.65
2024,4,3-Shaq Moore Fan SC,3-Ajer & Big Justice,95.42,100.17
2024,4,3-Young Munoz $$,3-Down with the Thickness,93.99,116.99
2024,4,1-Mateta’s Muppets,1-john lim,125.75,80.55
2024,4,2-Lads FC,2-FC Bofa,89.75,112.38
2024,4,3-Young Munoz $$,3- Mickey Mount Clubhouse,93.99,98.65
2024,4,1-The Madd Hatters,1-Diamond Dogs,97.13,82.24
2024,4,2-Arteta's Angels,2-100 Virgils,91.85,82.24
2024,4,3-Bench Warmers FC,3-Dijk in Diaz,104.81,68.75
2024,4,1-The Riesterer Bunny,1-Dirty little Slot,94.24,77.74
2024,4,2-Diego Luna Fan Page,2-McGinn and Tonic,125.16,136.99
2024,4,3-Shaq Moore Fan SC,3-Down with the Thickness,95.42,116.99
2024,4,1-Cruel Summerville,1-Check Complete FC,75.14,118.99
2024,4,2-Wild Boars United,2-Greek Prison XI,68.14,154.23
2024,4,3-Ajer & Big Justice,3-Onana What's my name,100.17,99.36
2024,4,1- Schärholder Value,1-Morgan Rodgers Neighborhood,89.22,138.23
2024,4,2-Rainy Night at Stoke,2-Reeces (broken to) Pieces,103.54,134.48
2024,4,3-Kelly’s Seagulls,3- Ornaldo Perfect Brothers & Sisters,114.97,144.1
2024,4,1 - Law of Averages,1-Tim's Team,134.99,141.66
2024,4,"2-good kev, m.A.A.d eze",2-Roy Kent's U8 Girls,98.49,75.73
2024,4,"3- if u lose 2 me, that is embarrassing",3-Hakuna Mateta,105.5,131.13
2024,5,1-Morgan Rodgers Neighborhood,1-Mateta’s Muppets,119.01,84.0
2024,5,1-Check Complete FC,1 - Law of Averages,66.99,76.57
2024,5,1-Cruel Summerville,1- Schärholder Value,68.0,110.99
2024,5,1-Diamond Dogs,1-Dirty little Slot,110.24,172.73
2024,5,1-The Madd Hatters,1-john lim,150.74,69.0
2024,5,1-The Riesterer Bunny,1-Tim's Team,141.66,146.22
2024,5,2-Diego Luna Fan Page,2-FC Bofa,165.5,87.5
2024,5,2-Greek Prison XI,2-Rainy Night at Stoke,119.81,116.93
2024,5,2-Lads FC,2-Arteta's Angels,102.49,56.75
2024,5,2-McGinn and Tonic,2-Roy Kent's U8 Girls,97.24,118.92
2024,5,2-Reeces (broken to) Pieces,2-100 Virgils,99.23,99.64
2024,5,2-Wild Boars United,"2-good kev, m.A.A.d eze",92.98,121.25
2024,5,3- Mickey Mount Clubhouse,3-Kelly’s Seagulls,94.24,91.74
2024,5,3- Ornaldo Perfect Brothers & Sisters,3-Down with the Thickness,133.48,116.48
2024,5,"3- if u lose 2 me, that is embarrassing",3-Young Munoz $$,101.5,135.74
2024,5,3-Ajer & Big Justice,3-Hakuna Mateta,98.5,90.49
2024,5,3-Bench Warmers FC,3-Onana What's my name,132.8,102.23
2024,5,3-Dijk in Diaz,3-Shaq Moore Fan SC,121.94,109.15
2024,5,1-Mateta’s Muppets,2-FC Bofa,84.0,87.5
2024,5,1-john lim,3-Young Munoz $$,69.0,135.74
2024,5,2-Lads FC,3- Mickey Mount Clubhouse,102.49,94.24
2024,5,1-Diamond Dogs,3-Bench Warmers FC,110.24,132.8
2024,5,1-The Madd Hatters,2-100 Virgils,150.74,99.64
2024,5,2-Arteta's Angels,3-Dijk in Diaz,56.75,121.94
2024,5,1-Dirty little Slot,3-Shaq Moore Fan SC,172.73,109.15
2024,5,1-The Riesterer Bunny,2-McGinn and Tonic,141.66,97.24
2024,5,3-Down with the Thickness,2-Diego Luna Fan Page,116.48,165.5
2024,5,1-Check Complete FC,3-Ajer & Big Justice,66.99,98.5
2024,5,2-Greek Prison XI,1-Cruel Summerville,119.81,68.0
2024,5,2-Wild Boars United,3-Onana What's my name,92.98,102.23
2024,5,3- Ornaldo Perfect Brothers & Sisters,1-Morgan Rodgers Neighborhood,133.48,119.01
2024,5,1- Schärholder Value,2-Rainy Night at Stoke,110.99,116.93
2024,5,2-Reeces (broken to) Pieces,3-Kelly’s Seagulls,99.23,91.74
2024,5,1 - Law of Averages,"3- if u lose 2 me, that is embarrassing",76.57,101.5
2024,5,1-Tim's Team,2-Roy Kent's U8 Girls,146.22,118.92
2024,5,"2-good kev, m.A.A.d eze",3-Hakuna Mateta,121.25,90.49
2024,6,1-Dirty little Slot,1-Morgan Rodgers Neighborhood,97.83,179.25
2024,6,1 - Law of Averages,1-The Madd Hatters,85.25,121.5
2024,6,1- Schärholder Value,1-Diamond Dogs,112.23,115.46
2024,6,1-Cruel Summerville,1-Check Complete FC,80.5,92.75
2024,6,1-Mateta’s Muppets,1-The Riesterer Bunny,86.98,99.25
2024,6,1-john lim,1-Tim's Team,160.49,88.5
2024,6,2-100 Virgils,2-Greek Prison XI,74.24,98.0
2024,6,2-Arteta's Angels,2-Diego Luna Fan Page,91.0,97.45
2024,6,2-Rainy Night at Stoke,2-Lads FC,168.25,69.49
2024,6,2-Reeces (broken to) Pieces,2-Wild Boars United,73.34,88.75
2024,6,2-Roy Kent's U8 Girls,2-FC Bofa,114.23,99.5
2024,6,"2-good kev, m.A.A.d eze",2-McGinn and Tonic,112.25,110.58
2024,6,"3- if u lose 2 me, that is embarrassing",3- Mickey Mount Clubhouse,79.75,102.5
2024,6,3-Down with the Thickness,3-Ajer & Big Justice,111.0,122.49
2024,6,3-Hakuna Mateta,3-Dijk in Diaz,84.75,158.5
2024,6,3-Kelly’s Seagulls,3-Bench Warmers FC,85.24,85.25
2024,6,3-Onana What's my name,3-Shaq Moore Fan SC,100.75,77.32
2024,6,3-Young Munoz $$,3- Ornaldo Perfect Brothers & Sisters,107.99,78.97
2024,6,1-Mateta’s Muppets,3-Young Munoz $$,86.98,107.99
2024,6,1-john lim,2-Lads FC,160.49,69.49
2024,6,3- Mickey Mount Clubhouse,2-FC Bofa,102.5,99.5
2024,6,1-The Madd Hatters,2-Arteta's Angels,121.5,91.0
2024,6,3-Bench Warmers FC,2-100 Virgils,85.25,74.24
2024,6,3-Dijk in Diaz,1-Diamond Dogs,158.5,115.46
2024,6,1-The Riesterer Bunny,2-Diego Luna Fan Page,99.25,97.45
2024,6,3-Down with the Thickness,1-Dirty little Slot,111.0,97.83
2024,6,3-Shaq Moore Fan SC,2-McGinn and Tonic,77.32,110.58
2024,6,1-Check Complete FC,3-Onana What's my name,92.75,100.75
2024,6,1-Cruel Summerville,2-Wild Boars United,80.5,88.75
2024,6,2-Greek Prison XI,3-Ajer & Big Justice,98.0,122.49
2024,6,3-Kelly’s Seagulls,1-Morgan Rodgers Neighborhood,85.24,179.25
2024,6,1- Schärholder Value,2-Reeces (broken to) Pieces,112.23,73.34
2024,6,3- Ornaldo Perfect Brothers & Sisters,2-Rainy Night at Stoke,78.97,168.25
2024,6,1 - Law of Averages,3-Hakuna Mateta,85.25,84.75
2024,6,1-Tim's Team,"2-good kev, m.A.A.d eze",88.5,112.25
2024,6,2-Roy Kent's U8 Girls,"3- if u lose 2 me, that is embarrassing",114.23,79.75
2024,7,1-Morgan Rodgers Neighborhood,1-Diamond Dogs,100.99,131.0
2024,7,1-Check Complete FC,1- Schärholder Value,127.08,101.99
2024,7,1-The Madd Hatters,1-Cruel Summerville,109.89,137.65
2024,7,1-The Riesterer Bunny,1-Dirty little Slot,106.17,151.95
2024,7,1-Tim's Team,1 - Law of Averages,94.18,96.24
2024,7,1-john lim,1-Mateta’s Muppets,106.11,93.72
2024,7,2-Diego Luna Fan Page,2-Rainy Night at Stoke,60.75,90.0
2024,7,2-FC Bofa,"2-good kev, m.A.A.d eze",104.23,108.5
2024,7,2-Lads FC,2-Greek Prison XI,111.67,137.1
2024,7,2-McGinn and Tonic,2-Reeces (broken to) Pieces,88.0,122.74
2024,7,2-Roy Kent's U8 Girls,2-Arteta's Angels,68.17,111.34
2024,7,2-Wild Boars United,2-100 Virgils,110.16,126.56
2024,7,3- Mickey Mount Clubhouse,3-Young Munoz $$,147.41,83.5
2024,7,3-Ajer & Big Justice,3- Ornaldo Perfect Brothers & Sisters,126.98,90.99
2024,7,3-Bench Warmers FC,"3- if u lose 2 me, that is embarrassing",155.48,88.74
2024,7,3-Dijk in Diaz,3-Down with the Thickness,111.74,129.23
2024,7,3-Onana What's my name,3-Hakuna Mateta,73.0,104.33
2024,7,3-Shaq Moore Fan SC,3-Kelly’s Seagulls,75.25,68.08
2024,7,1-Mateta’s Muppets,3- Mickey Mount Clubhouse,93.72,147.41
2024,7,1-john lim,2-FC Bofa,106.11,104.23
2024,7,2-Lads FC,3-Young Munoz $$,111.67,83.5
2024,7,1-The Madd Hatters,3-Dijk in Diaz,109.89,111.74
2024,7,2-100 Virgils,1-Diamond Dogs,126.56,131.0
2024,7,3-Bench Warmers FC,2-Arteta's Angels,155.48,111.34
2024,7,1-The Riesterer Bunny,3-Down with the Thickness,106.17,129.23
2024,7,2-McGinn and Tonic,1-Dirty little Slot,88.0,151.95
2024,7,3-Shaq Moore Fan SC,2-Diego Luna Fan Page,75.25,60.75
2024,7,1-Check Complete FC,2-Greek Prison XI,127.08,137.1
2024,7,1-Cruel Summerville,3-Onana What's my name,137.65,73.0
2024,7,2-Wild Boars United,3-Ajer & Big Justice,110.16,126.98
2024,7,2-Rainy Night at Stoke,1-Morgan Rodgers Neighborhood,90.0,100.99
2024,7,1- Schärholder Value,3-Kelly’s Seagulls,101.99,68.08
2024,7,3- Ornaldo Perfect Brothers & Sisters,2-Reeces (broken to) Pieces,90.99,122.74
2024,7,1 - Law of Averages,2-Roy Kent's U8 Girls,96.24,68.17
2024,7,1-Tim's Team,3-Hakuna Mateta,94.18,104.33
2024,7,"3- if u lose 2 me, that is embarrassing","2-good kev, m.A.A.d eze",88.74,108.5
