"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","G","A","A2","KP","AF","SOT","SOP","TkW","TLM","DIS","FS","YC","RC","ACNC","Int","IntB","CLO","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","MCS"
"*06fwx*","Santiago Bueno","WOL","D","275","FA","BRF 1<br/>@WOL 1 F","115.39","3.98","8%","0%","29","18","1,669","0","0","0","0","0","3","1","21","0","2","5","2","0","0","15","1","0","70","0","21","35","0","0","0","34","445"
"*06pih*","Carlos Soler","WHU","M","276","FA","WHU 3<br/>@IPS 1 F","114.36","3.69","0%","0%","31","14","1,381","1","1","0","18","0","9","1","11","0","14","19","6","0","3","8","1","0","19","8","6","11","0","0","0","25","190"
"*068a7*","Pablo Sarabia","WOL","M","277","FA","BRF 1<br/>@WOL 1 F","114.21","4.97","0%","0%","23","7","786","3","2","0","15","0","8","0","8","0","14","15","2","0","5","4","0","0","7","6","0","6","0","0","0","17","177"
"*063e8*","Goncalo Guedes","WOL","F","278","FA","BRF 1<br/>@WOL 1 F","114","3.93","0%","0%","29","10","964","2","4","0","14","0","8","0","5","0","18","17","1","0","6","5","0","0","3","9","0","6","0","0","0","25","235"
"*063e7*","Marcos Senesi","BOU","D","279","Laeka B","LEI 0<br/>@BOU 2 F","113.12","6.65","91%","0%","17","13","1,098","0","0","0","5","0","0","0","21","0","6","8","5","0","3","14","1","0","58","6","7","33","0","0","0","17","212"
"*06mve*","Joshua Zirkzee","MUN","F","280","j.l.","AVL 0<br/>@MUN 2 F","112.5","3.52","13%","0%","32","14","1,366","3","1","0","12","1","11","0","8","0","30","13","2","0","0","6","0","0","8","11","4","23","0","1","0","24","376"
"*06rma*","Marshall Munetsi","WOL","M","281","FA","BRF 1<br/>@WOL 1 F","109.75","7.84","9%","0%","14","12","1,076","2","1","0","9","1","7","1","10","0","12","10","0","0","3","6","0","0","17","3","1","29","0","0","0","11","360"
"*03rec*","Tyrone Mings","AVL","D","282","FA","AVL 0<br/>@MUN 2 F","109.33","7.81","12%","-1%","14","12","1,116","0","0","0","3","1","1","0","6","3","1","11","1","0","0","7","2","0","59","2","11","28","0","0","0","11","339"
"*068se*","Jhon Duran","AVL","F","283","FA","AVL 0<br/>@MUN 2 F","109.25","5.46","0%","0%","20","4","606","7","0","0","4","0","15","0","7","0","15","15","3","1","0","0","0","0","12","3","0","19","0","0","0","12","83"
"*04e1c*","Lewis Dunk","BHA","D","284","FA","BHA 4<br/>@TOT 1 F","108.71","4.35","32%","+5%","25","23","2,079","0","0","0","6","1","3","0","10","0","3","11","5","0","0","13","1","0","78","0","18","52","0","0","1","42","371"
"*05opl*","Wesley Fofana","CHE","D","285","FA","CHE 1<br/>@NOT 0 F","107.7","7.69","26%","+1%","14","14","1,172","0","0","0","6","0","0","0","12","1","5","16","7","0","0","14","2","0","52","8","9","27","0","0","0","13","277"
"*06crm*","Pau Torres","AVL","D","286","FA","AVL 0<br/>@MUN 2 F","107.24","4.47","6%","-1%","24","23","2,018","0","0","0","3","0","3","0","15","0","5","7","2","0","0","10","3","0","74","15","11","19","0","0","0","33","469"
"*0637b*","Orel Mangala","NOT/EVE","M","287","FA","EVE 1<br/>@NEW 0 F","106.54","5.61","0%","0%","19","14","1,246","1","0","0","8","0","6","0","8","0","12","17","2","0","1","21","1","1","21","14","3","6","0","0","0","10","522"
"*06mgd*","Abdul Fatawu","LEI","F","288","FA","LEI 0<br/>@BOU 2 F","106.25","9.66","0%","0%","11","6","573","0","2","0","6","0","5","1","15","0","12","20","0","0","6","4","2","0","12","29","0","14","0","0","0","14","7"
"*06rm3*","Marco Asensio","AVL","F","289","Mateta","AVL 0<br/>@MUN 2 F","105.75","8.13","29%","0%","13","9","736","3","1","0","16","1","11","1","5","0","8","8","2","0","5","2","0","0","3","12","1","0","2","0","0","8","332"
"*05uel*","Kristoffer Ajer","BRF","D","290","FA","BRF 1<br/>@WOL 1 F","104.82","4.37","6%","+1%","24","17","1,422","0","0","0","8","0","3","0","18","1","12","6","5","0","4","12","2","0","47","7","4","28","0","0","0","25","260"
"*02lp5*","Adam Smith","BOU","D","291","FA","LEI 0<br/>@BOU 2 F","104.75","4.19","2%","+1%","25","19","1,581","0","0","1","8","0","0","0","12","0","7","12","7","0","7","15","2","0","38","6","5","14","0","0","0","18","443"
"*06msd*","Yukinari Sugawara","SOU","D","292","j.l.","ARS 2<br/>@SOU 1 F","104.68","3.49","0%","0%","30","16","1,536","1","1","0","18","0","6","0","18","1","5","10","4","0","10","11","1","1","46","9","10","5","0","0","0","46","89"
"*06rm8*","Mathys Tel","TOT","F","293","RyRob","BHA 4<br/>@TOT 1 F","104.5","8.04","63%","+5%","13","11","906","2","1","0","14","1","9","0","6","0","15","16","2","0","5","2","0","0","8","15","1","4","0","1","0","20","90"
"*06o2t*","Niclas Fullkrug","WHU","F","294","Noah B","WHU 3<br/>@IPS 1 F","104","5.78","13%","0%","18","6","774","3","2","0","14","0","7","2","3","0","7","6","2","0","0","1","0","0","16","1","0","39","0","0","0","18","109"
"*04ge6*","Joe Willock","NEW","M","295","CC FC","EVE 1<br/>@NEW 0 F","103.65","3.24","2%","-1%","32","11","1,047","0","2","0","22","0","3","0","17","0","23","13","4","0","1","6","0","0","5","12","6","5","0","0","0","16","284"
"*056ir*","Adam Webster","BHA","D","296","FA","BHA 4<br/>@TOT 1 F","103.48","7.39","0%","0%","14","11","883","0","0","0","3","1","1","0","6","0","1","2","1","0","0","20","2","1","40","1","9","24","0","0","0","11","345"
"*05m46*","Luke Thomas","LEI","D","297","FA","LEI 0<br/>@BOU 2 F","102.49","7.32","0%","0%","14","13","1,107","0","0","0","9","0","0","0","25","0","4","10","3","0","7","21","5","0","45","3","6","13","0","0","0","23","180"
"*02lm7*","Jack Grealish","MCI","M","298","FA","MCI 2<br/>@FUL 0 F","102.44","5.12","33%","-1%","20","7","699","1","1","0","24","0","5","0","5","0","16","25","3","0","3","2","0","0","5","13","2","1","0","0","0","10","220"
"*066r9*","Ehor Yarmolyuk","BRF","M","299","FA","BRF 1<br/>@WOL 1 F","101.19","3.26","12%","+1%","31","15","1,419","0","0","0","9","0","2","0","28","0","21","13","6","0","5","13","2","0","31","13","9","8","0","0","0","25","332"
"*03bwz*","Harry Winks","LEI","M","300","FA","LEI 0<br/>@BOU 2 F","100.75","4.58","0%","0%","22","17","1,532","0","2","0","17","0","4","0","11","0","8","13","4","0","8","9","1","0","18","3","7","8","0","0","0","34","0"
"*05uns*","Leon Bailey","AVL","M","301","FA","AVL 0<br/>@MUN 2 F","100.34","4.18","2%","0%","24","14","1,126","1","2","0","16","0","6","2","5","0","25","18","3","0","2","3","0","0","8","22","0","6","0","1","0","19","166"
"*0687b*","Alex Moreno","AVL/NOT","D","302","FA","CHE 1<br/>@NOT 0 F","98.7","6.58","0%","0%","15","11","949","0","1","0","8","0","0","0","18","0","6","6","2","0","5","15","2","0","38","8","5","3","0","0","0","16","307"
"*05tr9*","Mathias Jensen","BRF","M","303","FA","BRF 1<br/>@WOL 1 F","98.67","4.11","50%","0%","24","8","830","0","2","1","16","0","1","0","10","0","7","10","2","0","8","8","0","0","13","9","4","8","0","0","0","17","218"
"*06p67*","Sammie Szmodics","IPS","M","305","FA","WHU 3<br/>@IPS 1 F","96.28","4.81","0%","0%","20","13","983","4","0","0","5","0","12","0","10","0","17","8","2","0","2","6","0","0","12","4","2","6","0","0","0","18","70"
"*05a6d*","Tariq Lamptey","BHA","D","306","FA","BHA 4<br/>@TOT 1 F","95.25","6.35","0%","0%","15","10","851","2","2","0","5","0","2","0","11","0","5","10","0","0","6","7","1","0","21","10","7","1","0","0","0","21","214"
"*02lpf*","Ross Barkley","AVL","M","308","FA","AVL 0<br/>@MUN 2 F","92.16","4.61","11%","-2%","20","3","553","3","1","0","9","0","6","0","3","0","8","3","3","0","0","10","1","0","5","12","3","6","0","0","0","10","127"
"*06rlj*","Patrick Dorgu","MUN","D","309","Noah B","AVL 0<br/>@MUN 2 F","91.74","7.64","77%","-1%","12","10","837","0","0","0","12","0","2","0","24","0","10","28","3","1","3","4","0","0","19","3","0","16","0","0","0","11","180"
"*05y55*","Kasey McAteer","LEI","M","310","Will","LEI 0<br/>@BOU 2 F","91.3","5.07","0%","0%","18","9","837","1","1","0","9","0","7","1","16","0","16","15","3","0","4","5","0","0","13","6","2","13","0","0","0","16","162"
"*06f8y*","Alex Scott","BOU","M","311","FA","LEI 0<br/>@BOU 2 F","90.91","4.55","71%","-1%","20","8","734","0","0","0","12","0","7","0","14","1","8","26","3","0","1","10","0","0","11","6","4","7","0","0","0","8","172"
"*06mn8*","Rodrigo Gomes","WOL","F","312","FA","BRF 1<br/>@WOL 1 F","90.5","3.62","1%","0%","25","7","776","2","0","0","13","0","3","0","15","1","9","6","0","0","4","7","1","0","16","5","1","8","0","0","0","20","128"
"*05opk*","Vladimir Coufal","WHU","D","313","FA","WHU 3<br/>@IPS 1 F","90.3","4.1","0%","0%","22","11","1,045","0","0","0","8","0","2","0","15","1","8","16","5","0","9","8","1","0","36","5","11","23","0","0","1","21","181"
"*05tr5*","Mads Roerslev","BRF","D","315","FA","BRF 1<br/>@WOL 1 F","89.49","4.71","0%","0%","19","11","1,087","0","2","0","14","0","2","0","8","0","6","10","2","0","4","4","1","0","31","7","5","10","0","0","0","20","180"
"*066sd*","Myles Lewis-Skelly","ARS","M","316","FA","ARS 2<br/>@SOU 1 F","88.41","3.84","62%","+11%","23","15","1,355","1","0","0","8","0","1","0","14","0","9","47","3","2","4","7","3","0","24","12","1","11","0","0","0","16","487"
"*05uhj*","Conor Bradley","LIV","D","317","Bobbo","CRY 1<br/>@LIV 1 F","87.99","4.63","21%","0%","19","7","733","0","2","0","7","0","3","0","10","0","5","14","4","0","1","4","1","0","25","10","2","11","0","0","0","10","195"
"*068sd*","Jakub Kiwior","ARS","D","318","Laeka B","ARS 2<br/>@SOU 1 F","87.8","5.16","1%","0%","17","10","1,112","1","0","0","5","0","1","0","8","2","2","4","1","0","0","6","2","0","57","3","8","11","0","0","0","15","271"
"*04mcg*","Ben Johnson","IPS","D","319","FA","WHU 3<br/>@IPS 1 F","87.45","3.8","0%","0%","23","14","1,335","1","2","0","12","0","3","0","22","0","17","6","3","1","2","13","1","0","53","8","5","19","0","0","0","36","3"
"*05rl4*","Crysencio Summerville","WHU","F","320","RyRob","WHU 3<br/>@IPS 1 F","87.25","4.59","79%","-2%","19","7","767","1","1","0","17","0","5","0","7","0","16","23","2","0","5","0","0","0","6","13","4","4","0","0","0","20","186"
"*045c8*","Gabriel Jesus","ARS","F","321","FA","ARS 2<br/>@SOU 1 F","86.25","5.07","10%","0%","17","6","589","3","0","0","8","2","8","1","6","0","13","10","4","0","1","4","1","0","7","9","1","9","0","0","0","5","194"
"*04ge8*","Reiss Nelson","ARS/FUL","F","322","FA","MCI 2<br/>@FUL 0 F","84.75","7.06","9%","0%","12","5","476","1","1","0","13","0","6","0","6","0","8","10","1","0","6","5","0","0","2","13","0","0","0","0","0","9","102"
"*06mq2*","Caleb Okoli","LEI","D","323","FA","LEI 0<br/>@BOU 2 F","83.99","4.42","0%","0%","19","12","1,113","1","0","0","0","0","2","0","14","0","2","9","4","0","0","15","3","0","76","0","14","23","0","0","0","26","90"
"*06ime*","Radu Dragusin","TOT","D","324","FA","BHA 4<br/>@TOT 1 F","83.52","5.22","1%","0%","16","14","1,248","0","0","0","4","0","1","0","6","0","2","10","1","0","1","15","3","0","46","0","16","34","0","0","0","29","188"
"*05n03*","Kalvin Phillips","IPS","M","326","FA","WHU 3<br/>@IPS 1 F","82.38","4.34","0%","0%","19","14","1,226","0","0","0","5","0","2","0","19","0","10","20","4","1","3","19","4","0","35","5","6","8","0","0","0","29","102"
"*03xrs*","Axel Tuanzebe","IPS","D","327","FA","WHU 3<br/>@IPS 1 F","80.49","3.66","1%","0%","22","20","1,708","0","1","0","5","0","0","0","19","0","1","12","3","1","2","22","3","0","54","4","10","23","0","0","1","37","90"
"*06rgg*","Michael Kayode","BRF","D","328","thomas","BRF 1<br/>@WOL 1 F","79.82","6.65","92%","-1%","12","6","518","0","1","0","8","0","0","0","11","1","3","3","2","0","3","7","0","0","17","9","0","9","0","0","0","5","185"
"*06r5b*","Diego Gomez","BHA","M","329","FA","BHA 4<br/>@TOT 1 F","79.03","4.94","33%","-2%","16","4","500","1","0","0","9","1","3","0","13","0","9","3","0","0","2","8","1","0","10","6","0","10","0","1","0","13","48"
"*05y7c*","Archie Gray","TOT","M","330","FA","BHA 4<br/>@TOT 1 F","77.31","2.76","4%","0%","28","19","1,733","0","0","0","3","0","1","0","8","0","11","11","1","0","0","19","4","1","47","7","11","11","0","0","1","41","208"
"*05rff*","Jaden Philogene-Bidace","AVL/IPS","F","331","FA","WHU 3<br/>@IPS 1 F","77.25","3.68","0%","0%","21","7","783","2","0","0","6","0","6","0","12","0","13","18","3","1","4","13","0","0","8","8","1","5","0","0","0","22","120"
"*06oav*","Guido Rodriguez","WHU","M","332","FA","WHU 3<br/>@IPS 1 F","77.23","3.36","0%","0%","23","16","1,140","0","1","0","4","0","1","0","19","0","7","12","6","0","1","13","2","0","30","3","9","11","0","0","0","19","291"
"*06ezb*","Micky van de Ven","TOT","D","333","FA","BHA 4<br/>@TOT 1 F","76.57","5.89","71%","-2%","13","12","1,013","0","2","0","2","0","2","0","6","0","5","9","4","0","0","10","1","0","38","4","8","19","0","0","0","17","170"
"*06ew2*","Axel Disasi","CHE/AVL","D","334","FA","AVL 0<br/>@MUN 2 F","75.9","5.84","9%","-2%","13","9","846","1","0","0","5","0","1","0","9","1","5","2","3","0","0","7","0","0","28","10","2","13","0","0","0","12","280"
"*03ena*","Aaron Cresswell","WHU","D","335","FA","WHU 3<br/>@IPS 1 F","75.7","4.21","0%","0%","18","10","813","0","0","0","9","0","0","0","7","0","0","2","3","0","4","8","2","0","36","1","4","7","0","0","0","8","292"
"*04io4*","Richarlison","TOT","F","337","FA","BHA 4<br/>@TOT 1 F","74.25","4.95","80%","+1%","15","4","488","4","1","0","4","0","7","0","3","0","8","13","2","0","2","0","0","0","8","1","1","10","0","0","0","9","101"
"*058vb*","Cameron Archer","AVL/SOU","F","336","FA","ARS 2<br/>@SOU 1 F","74.25","2.12","0%","0%","35","13","1,400","2","0","0","5","0","11","2","8","0","26","13","0","0","0","2","1","0","9","15","1","9","1","0","0","34","156"
