"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","MCS","GA","Sv","YC","RC","FS","PKS","PKD","PKM","TkW","DIS","G","A","A2","KP","AF","Int","IntB","CLR","CoS","AER","AC","HCS","Sm","OG","SOT"
"*06clu*","Mark Flekken","BRF","G","1","Laeka B","BRF 1<br/>@WOL 1 F","400.05","10.81","0%","0%","37","37","3,275","665","55","153","1","0","3","0","0","0","4","0","0","2","0","3","0","0","0","46","1","4","0","43","3","0","0"
"*032f9*","Jordan Pickford","EVE","G","2","j.l.","EVE 1<br/>@NEW 0 F","377.4","9.93","95%","+1%","38","38","3,420","1,080","44","122","7","0","7","2","0","0","0","0","0","1","0","2","0","1","1","52","0","8","0","28","6","0","0"
"*04f6h*","Matz Sels","NOT","G","3","Brad","CHE 1<br/>@NOT 0 F","359.65","9.46","58%","+1%","38","38","3,420","1,170","46","120","4","0","10","0","0","0","1","0","0","0","0","2","1","0","0","54","0","17","0","16","5","0","0"
"*05tqx*","David Raya","ARS","G","4","CC FC","ARS 2<br/>@SOU 1 F","338.15","8.9","99%","0%","38","38","3,420","1,170","34","86","3","0","10","0","0","0","0","0","0","0","0","1","0","2","2","29","1","14","0","51","2","0","0"
"*04yme*","Robert Sanchez","CHE","G","5","FA","CHE 1<br/>@NOT 0 F","325.92","10.19","61%","-11%","32","32","2,880","900","34","95","5","0","4","1","0","0","0","0","0","0","0","2","0","2","2","36","0","12","0","44","7","0","0"
"*03yww*","Dean Henderson","CRY","G","6","RyRob","CRY 1<br/>@LIV 1 F","313.16","8.24","89%","-1%","38","38","3,420","990","51","104","3","0","2","1","0","0","1","0","0","0","0","3","0","0","0","40","0","13","0","28","4","0","0"
"*02lz0*","Emiliano Martinez","AVL","G","7","thomas","AVL 0<br/>@MUN 2 F","305.69","8.26","79%","-2%","37","37","3,195","720","45","100","5","1","6","1","0","0","3","0","0","0","0","2","0","0","0","20","1","11","0","52","5","0","0"
"*044ei*","Nick Pope","NEW","G","8","Mateta","EVE 1<br/>@NEW 0 F","286.19","10.22","70%","+4%","28","28","2,520","720","35","88","2","0","5","1","0","0","0","1","0","0","0","1","0","1","1","53","0","14","0","37","2","0","0"
"*04qor*","Bernd Leno","FUL","G","9","FA","MCI 2<br/>@FUL 0 F","278.46","7.33","58%","+7%","38","38","3,420","450","54","110","5","0","4","1","0","0","2","0","0","1","0","2","1","0","0","32","0","9","0","21","5","0","0"
"*06dps*","Andre Onana","MUN","G","10","FA","AVL 0<br/>@MUN 2 F","266.43","7.84","3%","0%","34","34","3,060","810","44","90","0","0","2","1","0","0","2","0","0","0","0","1","0","0","0","24","1","6","0","20","6","0","0"
"*04u40*","Kepa","CHE/BOU","G","11","Noah B","LEI 0<br/>@BOU 2 F","262.94","8.48","3%","0%","31","31","2,790","720","39","97","3","0","6","0","0","0","0","0","0","0","0","1","0","0","0","36","1","8","0","18","2","0","0"
"*04amh*","Aaron Ramsdale","ARS/SOU","G","12","Will","ARS 2<br/>@SOU 1 F","252.98","8.43","9%","-1%","30","30","2,700","270","66","125","2","0","4","2","0","0","0","0","0","0","0","0","0","2","2","28","0","8","0","20","4","0","0"
"*04sjt*","Alisson","LIV","G","13","TRB","CRY 1<br/>@LIV 1 F","250.6","8.95","56%","-2%","28","28","2,508","888","29","78","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","31","1","7","0","11","8","0","0"
"*05udg*","Jose Sa","WOL","G","14","STONKS","BRF 1<br/>@WOL 1 F","232.19","8.01","13%","0%","29","29","2,608","630","48","71","2","0","9","2","0","0","2","0","0","0","0","3","0","0","0","25","8","13","0","29","5","0","0"
"*06cmu*","Bart Verbruggen","BHA","G","15","Bobbo","BHA 4<br/>@TOT 1 F","228.44","6.35","66%","0%","36","36","3,240","630","58","91","5","0","2","0","0","0","0","0","0","1","0","1","0","0","0","46","2","10","0","22","3","0","0"
"*04fk5*","Ederson","MCI","G","16","FA","MCI 2<br/>@FUL 0 F","224.17","8.62","11%","0%","26","26","2,320","900","26","54","4","0","0","0","0","0","0","0","0","4","0","4","0","1","0","16","0","4","0","12","7","0","0"
"*06mga*","Mads Hermansen","LEI","G","17","FA","LEI 0<br/>@BOU 2 F","200.99","7.44","30%","-6%","27","27","2,385","90","58","103","1","0","3","1","0","0","1","0","0","0","0","0","0","0","0","33","1","4","0","24","5","0","0"
"*05oef*","Alphonse Areola","WHU","G","18","FA","WHU 3<br/>@IPS 1 F","182.42","7.02","8%","0%","26","25","2,258","413","41","82","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","25","0","2","0","15","1","1","0"
