"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","G","KP","AT","SOT","TkW","DIS","YC","SYC","RC","ACNC","Int","CLR","CoS","AER","OG","GAD","CS"
"*02lpf*","Ross Barkley","CHE","M","185","John L","CHE 0<br/>@LEI 0 F","32.5","32.5","11%","-2%","1","1","4","2","1","0","1","0","0","0","0","0","1","0","2","0","0","1"
"*03aqp*","Mohamed Salah","LIV","F","2","Alex R","WOL 0<br/>@LIV 2 F","30.5","30.5","97%","0%","1","1","3","2","2","0","3","0","0","0","1","0","0","0","0","0","0","0"
"*02lnq*","Paul Pogba","MUN","M","10","Woot","CAR 2<br/>@MUN 0 F","30.5","30.5","0%","0%","1","1","2","1","5","0","2","0","0","0","1","0","0","1","1","0","0","0"
"*03jv0*","Sadio Mane","LIV","F","8","Laeka B","WOL 0<br/>@LIV 2 F","29","29","0%","0%","1","2","2","0","2","0","0","0","0","0","0","0","0","3","0","0","0","0"
"*04ami*","Luka Milivojevic","CRY","M","12","Connor L","BOU 3<br/>@CRY 5 F","27","27","0%","0%","1","2","2","0","2","2","2","0","0","0","0","0","0","0","0","0","0","0"
"*03vlm*","Anthony Martial","MUN","F","75","Noah B","CAR 2<br/>@MUN 0 F","26","26","0%","0%","1","1","4","0","3","0","2","0","0","0","1","1","0","1","2","0","0","0"
"*04e19*","Bruno","BHA","D","339","FA","MCI 4<br/>@BHA 1 F","25.75","25.75","0%","0%","1","0","2","1","0","3","0","0","0","0","0","1","3","1","2","0","0","1"
"*02oq7*","Jack Stephens","SOU","D","284","FA","HUD 1<br/>@SOU 1 F","25.5","25.5","0%","0%","1","0","1","0","2","0","0","0","0","0","0","2","6","2","8","0","0","1"
"*03r8x*","Callum Wilson","BOU","F","39","Tim O","BOU 3<br/>@CRY 5 F","25","25","16%","+4%","1","2","1","0","2","1","2","0","0","0","0","1","0","0","0","0","0","1"
"*02m66*","Marcos Alonso","CHE","D","37","Willy B","CHE 0<br/>@LEI 0 F","23.75","23.75","0%","0%","1","0","3","1","0","1","0","0","0","0","0","0","3","0","2","0","0","1"
"*02m79*","Ryan Bertrand","SOU","D","208","BUK","HUD 1<br/>@SOU 1 F","23.5","23.5","0%","0%","1","0","5","0","0","0","2","0","0","0","2","3","2","0","3","0","0","1"
"*03r8r*","Ryan Fraser","BOU","M","6","Laeka B","BOU 3<br/>@CRY 5 F","23.5","23.5","0%","0%","1","0","3","2","1","0","1","0","0","0","1","0","1","2","0","0","0","1"
"*043bz*","Isaac Success Ajayi","WAT","F","277","FA","WHU 4<br/>@WAT 1 F","23","23","0%","0%","1","1","3","0","2","3","2","0","0","0","0","1","0","0","2","0","0","1"
"*02m11*","Matt Doherty","WOL","D","4","Connor L","WOL 0<br/>@LIV 2 F","22.75","22.75","1%","0%","1","0","2","0","2","1","0","0","0","0","1","4","3","2","6","0","0","0"
"*046v3*","Roberto Pereyra","WAT","M","103","Ryan C","WHU 4<br/>@WAT 1 F","21","21","0%","0%","1","1","1","0","2","0","0","0","0","0","0","2","0","3","0","0","0","1"
"*037mo*","Willian","CHE","M,F","44","Woot","CHE 0<br/>@LEI 0 F","20.5","20.5","0%","0%","1","1","2","0","2","1","0","1","0","0","0","1","0","4","1","0","0","1"
"*04fkc*","Francisco Femenia Far","WAT","D","250","FA","WHU 4<br/>@WAT 1 F","20.5","20.5","0%","0%","1","0","1","1","0","2","0","0","0","0","0","1","2","0","1","0","0","1"
"*02lls*","Marc Albrighton","LEI","M","152","Woot","CHE 0<br/>@LEI 0 F","20","20","0%","0%","1","0","4","0","2","0","0","0","0","0","5","0","0","2","2","0","0","0"
"*04sau*","Fabian Balbuena","WHU","D","168","FA","WHU 4<br/>@WAT 1 F","19.75","19.75","0%","0%","1","1","0","0","1","1","0","0","0","0","0","2","15","0","3","0","1","0"
"*04qf4*","Callum Paterson","CAR","D","27","Willy B","CAR 2<br/>@MUN 0 F","18.75","18.75","0%","0%","1","1","0","0","1","0","1","0","0","0","0","0","1","0","7","0","0","0"
"*04aiz*","Wilfred Ndidi","LEI","M","48","Connor L","CHE 0<br/>@LEI 0 F","18","18","0%","0%","1","1","1","0","1","2","2","0","0","0","0","2","0","1","2","0","0","0"
"*02m2u*","Gylfi Sigurdsson","EVE","M","5","Noah B","EVE 2<br/>@TOT 2 F","18","18","0%","0%","1","1","2","0","2","0","0","0","0","0","0","0","1","1","0","0","0","0"
"*0329s*","Glenn Murray","BHA","F","76","John L","MCI 4<br/>@BHA 1 F","17.5","17.5","0%","0%","1","1","1","0","1","0","1","0","0","0","0","0","1","2","6","0","0","1"
"*04rim*","Adam Masina","WAT","D","359","FA","WHU 4<br/>@WAT 1 F","16.75","16.75","0%","0%","1","0","1","1","0","1","0","1","0","0","1","0","3","0","1","0","0","1"
"*03jab*","Federico Fernandez","NEW","D","279","FA","NEW 4<br/>@FUL 0 F","16.5","16.5","0%","0%","1","0","1","0","0","1","0","0","0","0","0","0","14","0","4","0","0","1"
"*02vlk*","Cesar Azpilicueta","CHE","D","35","Tim O","CHE 0<br/>@LEI 0 F","16.25","16.25","0%","0%","1","0","1","0","0","0","0","0","0","0","1","1","5","0","5","0","0","1"
"*04rh9*","David Brooks","BOU","M","71","Tim O","BOU 3<br/>@CRY 5 F","16","16","8%","0%","1","1","1","0","1","0","0","0","0","0","0","0","0","2","0","0","0","1"
"*03r8k*","Charlie Daniels","BOU","D","302","FA","BOU 3<br/>@CRY 5 F","16","16","0%","0%","1","0","2","0","0","0","1","0","0","0","4","2","2","0","0","0","0","1"
"*04rf1*","Mohamed Elyounoussi","SOU","M","298","FA","HUD 1<br/>@SOU 1 F","16","16","0%","0%","1","0","2","0","1","1","0","0","0","0","1","4","1","2","2","0","0","1"
"*03dyp*","Riyad Mahrez","MCI","M","97","Noah B","MCI 4<br/>@BHA 1 F","16","16","0%","0%","1","1","0","0","2","0","0","0","0","0","0","0","1","2","0","0","0","1"
"*03srm*","N'Golo Kante","CHE","M","62","BUK","CHE 0<br/>@LEI 0 F","15.5","15.5","0%","0%","1","0","3","1","0","1","0","0","0","0","1","0","0","0","1","0","0","1"
"*04g1w*","Antonio Rudiger","CHE","D","143","Blake R","CHE 0<br/>@LEI 0 F","15.5","15.5","0%","0%","1","0","1","0","0","0","0","0","0","0","0","1","6","2","3","0","0","1"
"*04io4*","Richarlison","EVE","F","59","Laeka B","EVE 2<br/>@TOT 2 F","15","15","80%","+1%","1","0","2","1","1","0","1","0","0","0","0","1","2","2","1","0","0","0"
"*04t3s*","Joao Moutinho","WOL","M","32","Ryan R","WOL 0<br/>@LIV 2 F","15","15","0%","0%","1","0","5","0","1","1","0","0","0","0","2","0","0","0","0","0","0","0"
"*03tj9*","Xherdan Shaqiri","LIV","F","181","FA","WOL 0<br/>@LIV 2 F","15","15","0%","0%","1","1","1","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0"
"*02lvo*","David Silva","MCI","M","29","Ryan C","MCI 4<br/>@BHA 1 F","15","15","0%","0%","1","0","5","0","1","0","0","0","0","0","0","2","0","0","0","0","0","1"
"*02lkp*","Raheem Sterling","MCI","F","3","Blake R","MCI 4<br/>@BHA 1 F","14.5","14.5","1%","0%","1","0","3","1","1","0","2","0","0","0","0","0","1","1","1","0","0","1"
"*0327o*","Gerard Deulofeu","WAT","F","82","Woot","WHU 4<br/>@WAT 1 F","14.5","14.5","0%","0%","1","1","1","0","1","0","3","0","0","0","0","0","0","3","0","0","0","1"
"*03m5c*","Ruben Loftus-Cheek","CHE","M","142","Alex R","CHE 0<br/>@LEI 0 F","14.5","14.5","0%","0%","1","1","0","0","1","0","0","0","0","0","0","0","0","2","1","0","0","1"
"*04gw9*","Alvaro Morata","CHE","F","281","Willy B","CHE 0<br/>@LEI 0 F","14.5","14.5","0%","0%","1","1","1","0","3","0","2","1","0","0","0","0","1","1","1","0","0","1"
"*03m1q*","DeAndre Yedlin","NEW","D","212","FA","NEW 4<br/>@FUL 0 F","14.5","14.5","0%","0%","1","0","0","0","0","1","0","0","0","0","0","1","6","1","4","0","0","1"
"*03pig*","Jamaal Lascelles","NEW","D","132","Laeka B","NEW 4<br/>@FUL 0 F","14.25","14.25","0%","0%","1","0","0","0","0","0","0","0","0","0","0","4","9","0","2","0","0","1"
"*03r8h*","Simon Francis","BOU","D","244","FA","BOU 3<br/>@CRY 5 F","14","14","0%","0%","1","0","1","0","1","1","0","0","0","0","1","1","4","0","0","0","0","1"
"*0435m*","Granit Xhaka","ARS","M","104","Woot","ARS 3<br/>@BUR 1 F","13.5","13.5","80%","+1%","1","1","0","0","1","2","1","0","0","0","0","1","2","0","0","0","2","0"
"*032f5*","Paul Dummett","NEW","D","188","FA","NEW 4<br/>@FUL 0 F","13.5","13.5","0%","0%","1","0","0","0","0","0","0","0","0","0","0","2","10","0","3","0","0","1"
"*02lp9*","Kyle Walker","MCI","D","65","Woot","MCI 4<br/>@BHA 1 F","12.75","12.75","11%","0%","1","0","0","0","0","0","0","0","0","0","0","1","3","3","2","0","0","1"
"*0414o*","James Maddison","LEI","M","14","Laeka B","CHE 0<br/>@LEI 0 F","12.5","12.5","43%","+6%","1","0","4","0","0","1","1","0","0","0","1","1","1","2","0","0","0","0"
"*04e1a*","Gaetan Bong","BHA","D","337","FA","MCI 4<br/>@BHA 1 F","12.5","12.5","0%","0%","1","0","0","0","0","1","1","0","0","0","1","0","4","3","1","0","0","1"
"*02rlu*","Craig Cathcart","WAT","D","205","Willy B","WHU 4<br/>@WAT 1 F","12.25","12.25","0%","0%","1","0","0","0","0","1","0","0","0","0","0","0","9","0","3","0","0","1"
"*02lpr*","Shane Duffy","BHA","D","43","Connor L","MCI 4<br/>@BHA 1 F","12.25","12.25","0%","0%","1","0","0","0","0","1","0","0","0","0","0","0","9","0","3","0","0","1"
"*03v6t*","Ben Chilwell","LEI","D","26","Connor L","CHE 0<br/>@LEI 0 F","12","12","0%","0%","1","0","2","0","0","1","1","0","0","0","0","2","2","3","4","0","1","0"
"*04mqy*","Pierre-Emerick Aubameyang","ARS","F","13","Connor L","ARS 3<br/>@BUR 1 F","12","12","0%","0%","1","1","0","0","1","1","3","0","0","0","0","1","1","0","1","0","0","0"
"*03eki*","Cheikhou Kouyate","CRY","M","199","FA","BOU 3<br/>@CRY 5 F","12","12","0%","0%","1","0","1","1","0","0","0","0","0","0","0","2","0","0","4","0","0","0"
"*03rxi*","Georginio Wijnaldum","LIV","M","146","FA","WOL 0<br/>@LIV 2 F","12","12","0%","0%","1","0","1","1","0","2","1","0","0","0","0","2","0","0","1","0","0","0"
