"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","G","KP","AT","SOT","TkW","DIS","YC","SYC","RC","ACNC","Int","CLR","CoS","AER","OG","GAD","CS"
"*03ull*","Nicolas Otamendi","MCI","D","200","Ryan R","MCI 4<br/>@BHA 1 F","143.5","7.97","0%","0%","18","0","2","0","3","14","0","1","0","0","0","28","54","2","39","0","7","9"
"*0427g*","Andre Gray","WAT","F","201","Connor L","WHU 4<br/>@WAT 1 F","143","4.93","0%","0%","29","7","14","2","17","1","21","2","0","0","2","2","4","9","17","0","0","4"
"*02lmb*","Jonathan Hogg","HUD","M","202","FA","HUD 1<br/>@SOU 1 F","143","4.93","0%","0%","29","0","15","1","1","43","18","8","0","1","2","69","19","11","30","0","0","5"
"*04fyc*","Charlie Taylor","BUR","D","203","FA","ARS 3<br/>@BUR 1 F","141.5","3.72","0%","0%","38","0","10","1","0","26","17","2","0","0","21","34","88","38","73","0","64","7"
"*02lna*","Chicharito","WHU","F","204","FA","WHU 4<br/>@WAT 1 F","140","5.6","0%","0%","25","7","5","4","18","0","11","2","0","0","0","1","8","12","11","0","0","6"
"*02rlu*","Craig Cathcart","WAT","D","205","Willy B","WHU 4<br/>@WAT 1 F","139.75","3.88","0%","0%","36","3","1","0","5","31","3","2","0","0","0","34","177","3","83","2","54","6"
"*0372y*","Matt Targett","SOU","D","206","FA","HUD 1<br/>@SOU 1 F","139.25","8.7","0%","0%","16","1","23","3","3","20","8","2","0","0","16","26","33","1","16","0","12","0"
"*02m79*","Ryan Bertrand","SOU","D","208","BUK","HUD 1<br/>@SOU 1 F","138","5.75","0%","0%","24","1","22","0","2","26","8","8","0","0","13","30","44","5","37","0","25","6"
"*04fyg*","Zanka","HUD","D","209","FA","HUD 1<br/>@SOU 1 F","137.25","5.72","0%","0%","24","3","8","1","4","31","6","6","0","0","1","63","85","2","36","0","38","3"
"*02m7z*","Juan Mata","MUN","M","210","Blake R","CAR 2<br/>@MUN 0 F","137","6.23","0%","0%","22","3","30","4","6","4","20","3","0","0","6","6","6","10","2","0","0","6"
"*02oo1*","Ben Davies","TOT","D","211","FA","EVE 2<br/>@TOT 2 F","136.75","5.06","1%","0%","27","0","15","0","1","31","10","2","0","0","8","22","63","5","44","0","23","6"
"*03m1q*","DeAndre Yedlin","NEW","D","212","FA","NEW 4<br/>@FUL 0 F","136.75","4.72","0%","0%","29","1","27","2","2","31","10","6","0","1","17","29","71","8","31","1","36","5"
"*04rd0*","Bobby De Cordova-Reid","CAR","M","213","FA","CAR 2<br/>@MUN 0 F","135","5","0%","0%","27","5","16","3","9","8","31","0","0","0","2","3","12","16","9","0","0","4"
"*04u6i*","Leander Dendoncker","WOL","M","214","Ryan C","WOL 0<br/>@LIV 2 F","134.5","7.08","0%","0%","19","2","7","0","10","27","8","1","0","0","1","21","30","10","55","0","0","3"
"*04gyl*","Benjamin Mendy","MCI","D","215","Alex R","MCI 4<br/>@BHA 1 F","134","13.4","0%","0%","10","0","12","6","3","10","12","1","0","0","11","10","16","8","8","0","5","4"
"*03819*","Mamadou Sakho","CRY","D","216","FA","BOU 3<br/>@CRY 5 F","134","4.96","0%","0%","27","0","6","0","1","15","6","2","0","0","0","41","128","8","49","0","35","9"
"*04u41*","Mateo Kovacic","CHE","M","217","Willy B","CHE 0<br/>@LEI 0 F","132.5","4.14","2%","0%","32","0","25","2","4","27","39","3","0","0","1","9","18","40","10","0","0","9"
"*0328a*","Joe Ralls","CAR","M","218","FA","CAR 2<br/>@MUN 0 F","132.5","4.73","0%","0%","28","0","33","0","3","24","13","4","0","1","10","26","29","4","34","0","0","5"
"*04yo7*","Youri Tielemans","LEI","M","220","Alex R","CHE 0<br/>@LEI 0 F","132","10.15","85%","-3%","13","3","16","5","12","8","14","2","0","0","2","4","11","9","12","0","0","3"
"*02los*","Shane Long","SOU","F","219","FA","HUD 1<br/>@SOU 1 F","132","5.08","0%","0%","26","5","11","2","10","7","22","3","0","0","1","5","18","3","74","0","0","2"
"*02lnu*","Chris Smalling","MUN","D","221","Alex R","CAR 2<br/>@MUN 0 F","131.25","5.47","0%","0%","24","1","2","0","2","18","2","1","0","0","0","26","101","2","103","1","36","4"
"*02m87*","Oriol Romeu","SOU","M","222","FA","HUD 1<br/>@SOU 1 F","131","4.23","0%","0%","31","1","9","0","4","45","15","11","0","0","1","46","32","16","45","0","0","6"
"*04fk8*","Victor Lindelof","MUN","D","223","Ryan C","CAR 2<br/>@MUN 0 F","129","4.3","1%","0%","30","1","5","1","1","25","3","1","0","0","0","24","118","8","70","1","40","6"
"*02lp5*","Adam Smith","BOU","D","224","FA","BOU 3<br/>@CRY 5 F","128.75","5.15","2%","+1%","25","1","11","1","1","30","9","5","0","1","4","29","57","20","28","0","30","8"
"*04ru2*","Bernardo","BHA","D","225","FA","MCI 4<br/>@BHA 1 F","128.5","5.84","0%","0%","22","0","10","1","3","43","10","4","0","0","7","33","62","14","45","0","29","2"
"*045yy*","Arthur Masuaku","WHU","D","226","FA","WHU 4<br/>@WAT 1 F","128","5.57","0%","0%","23","0","14","2","1","26","27","2","0","0","4","35","58","35","21","0","29","4"
"*032ah*","Dejan Lovren","LIV","D","227","Ryan R","WOL 0<br/>@LIV 2 F","127.75","9.83","0%","0%","13","1","1","1","1","9","1","1","0","0","2","10","53","0","53","0","7","6"
"*02oqi*","Jan Vertonghen","TOT","D","228","John L","EVE 2<br/>@TOT 2 F","127","5.77","0%","0%","22","1","4","0","2","22","2","3","1","1","5","33","72","10","48","0","23","6"
"*04qqu*","Juninho Bacuna","HUD","M","229","FA","HUD 1<br/>@SOU 1 F","126","6","0%","0%","21","1","18","0","8","29","20","4","0","0","3","22","11","24","18","0","3","0"
"*04sft*","Yves Bissouma","BHA","M","231","FA","MCI 4<br/>@BHA 1 F","125.5","4.48","2%","0%","28","0","13","0","3","28","30","5","0","0","0","31","25","49","25","0","0","3"
"*04toz*","Max Meyer","CRY","M","232","FA","BOU 3<br/>@CRY 5 F","125.5","4.33","0%","0%","29","1","22","3","8","19","23","3","0","0","3","16","18","13","4","0","0","6"
"*03sin*","Kenedy","NEW","M","233","FA","NEW 4<br/>@FUL 0 F","125.5","5.02","0%","0%","25","1","12","1","6","22","40","1","0","0","7","30","17","29","7","0","2","6"
"*03dda*","Christian Atsu","NEW","M","234","FA","NEW 4<br/>@FUL 0 F","123.5","4.41","0%","0%","28","1","18","1","14","17","33","2","0","0","8","7","14","24","10","0","0","6"
"*04f62*","Chris Lowe","HUD","D","235","FA","HUD 1<br/>@SOU 1 F","122.75","4.23","0%","0%","29","0","20","4","6","18","14","2","0","0","23","20","51","9","27","0","32","1"
"*03rxb*","Angelo Ogbonna","WHU","D","236","FA","WHU 4<br/>@WAT 1 F","121.5","5.06","0%","0%","24","1","4","1","5","14","4","2","0","0","0","34","98","2","79","0","36","2"
"*04ml9*","Cenk Tosun","EVE","F","237","Woot","EVE 2<br/>@TOT 2 F","121.5","4.86","0%","0%","25","3","13","3","17","9","17","3","0","0","1","5","3","2","34","0","0","1"
"*04mks*","Terence Kongolo","HUD","D","238","FA","HUD 1<br/>@SOU 1 F","120","3.75","0%","0%","32","1","9","1","4","46","4","4","0","0","4","66","96","11","54","1","65","4"
"*02lkm*","Jonjo Shelvey","NEW","M","239","Connor L","NEW 4<br/>@FUL 0 F","120","7.5","0%","0%","16","1","24","1","8","12","4","1","0","0","4","8","12","10","14","0","0","5"
"*02lw0*","Pablo Zabaleta","WHU","D","241","Blake R","WHU 4<br/>@WAT 1 F","119.75","4.61","0%","0%","26","0","7","1","1","22","13","4","0","0","8","48","85","13","48","0","35","4"
"*04abn*","Harvey Barnes","LEI","M","242","Alex R","CHE 0<br/>@LEI 0 F","119.5","7.47","69%","+9%","16","1","17","3","10","5","14","0","0","0","3","3","5","30","7","0","0","1"
"*03f25*","Alexis Sanchez","MUN","F","243","FA","CAR 2<br/>@MUN 0 F","119.5","5.97","0%","0%","20","1","21","5","9","11","26","3","0","0","5","9","1","14","7","0","0","2"
"*03r8h*","Simon Francis","BOU","D","244","FA","BOU 3<br/>@CRY 5 F","118.25","6.96","0%","0%","17","0","10","2","1","13","7","1","0","0","11","19","67","5","46","0","24","4"
"*04u6p*","Luciano Vietto","FUL","F","245","BUK","NEW 4<br/>@FUL 0 F","118","5.9","0%","0%","20","1","22","4","8","11","27","1","0","0","8","6","6","14","5","0","0","1"
"*0326y*","Hector Bellerin","ARS","D","246","BUK","ARS 3<br/>@BUR 1 F","117.75","6.2","0%","0%","19","0","8","5","4","13","15","3","0","0","9","18","33","14","21","1","14","4"
"*03fgq*","Daryl Janmaat","WAT","D","247","FA","WHU 4<br/>@WAT 1 F","116.5","6.47","0%","0%","18","0","12","2","1","23","9","3","0","0","14","30","60","13","19","0","22","3"
"*02ope*","Olivier Giroud","CHE","F","248","BUK","CHE 0<br/>@LEI 0 F","115.5","4.28","0%","0%","27","2","17","4","10","2","6","1","0","0","0","3","6","2","37","0","0","6"
