"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","Min","G","A","KP","AFKG","APKG","SOT","TkW","DIS","YC","RC","ACNC","Int","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","CS"
"*02lp2*","Danny Rose","WAT","D","422","FA","WAT 1<br/>@CHE 2 F","22.75","2.84","0%","0%","8","687","0","0","5","0","0","1","10","1","4","0","1","14","9","9","5","4","0","0","0","16","0"
"*051kq*","Todd Cantwell","NOR","M","424","FA","TOT 5<br/>@NOR 0 F","22.5","2.81","0%","0%","8","435","0","0","2","0","0","0","13","9","2","0","0","3","2","5","0","3","0","0","0","15","0"
"*02onj*","Mark Noble","WHU","M","425","FA","WHU 1<br/>@BHA 3 F","22.5","2.05","0%","0%","11","319","1","0","1","0","0","2","2","4","0","0","0","4","2","3","1","1","1","0","0","5","1"
"*05trt*","Andrew Omobamidele","NOR","D","426","FA","TOT 5<br/>@NOR 0 F","22","4.4","0%","0%","5","380","1","0","0","0","0","1","6","0","1","0","0","5","13","0","8","5","0","0","0","9","0"
"*02ltx*","Dan Gosling","WAT","M","427","FA","WAT 1<br/>@CHE 2 F","21","5.25","0%","0%","4","162","1","0","1","0","0","1","1","1","0","0","1","0","3","2","0","5","0","0","0","5","1"
"*040ah*","Tom Davies","EVE","M","428","FA","EVE 1<br/>@ARS 5 F","20.75","3.46","0%","0%","6","227","1","0","0","0","0","2","1","1","1","0","0","2","8","2","1","3","0","0","0","9","0"
"*03vlm*","Anthony Martial","MUN","F","430","FA","MUN 0<br/>@CRY 1 F","19","2.38","0%","0%","8","202","1","0","0","0","0","3","0","4","0","0","0","0","1","4","0","4","0","0","0","3","0"
"*04yjx*","Ki-Jana Hoever","WOL","D","431","FA","WOL 1<br/>@LIV 3 F","18.75","2.34","1%","0%","8","304","0","0","1","0","0","0","6","4","1","0","1","6","7","4","0","3","0","0","0","5","1"
"*05ts0*","Francisco Sierralta","WAT","D","433","FA","WAT 1<br/>@CHE 2 F","17.75","3.55","0%","0%","5","427","0","0","0","0","0","1","3","0","0","0","0","6","34","2","2","15","0","0","1","9","0"
"*02m7z*","Juan Mata","MUN","M","434","I_am_Tim","MUN 0<br/>@CRY 1 F","17.5","2.5","0%","0%","7","225","0","0","2","0","0","1","4","2","0","0","2","1","1","3","0","0","0","0","0","4","1"
"*05uwf*","Ozan Tufan","WAT","M","435","FA","WAT 1<br/>@CHE 2 F","16.75","2.39","0%","0%","7","333","0","0","4","0","0","0","2","3","0","0","0","2","3","3","0","3","0","0","0","9","0"
"*03xrs*","Axel Tuanzebe","AVL","D","436","FA","AVL 2<br/>@MCI 3 F","16","1.78","1%","0%","9","502","0","0","0","0","0","1","3","0","1","0","0","5","12","0","4","13","0","0","0","10","1"
"*05trj*","Marcus Forss","BRF","F","437","FA","LEE 2<br/>@BRF 1 F","14.5","2.07","0%","0%","7","197","0","1","1","0","0","0","3","1","0","0","0","1","0","1","0","2","0","0","0","4","0"
"*047l2*","Jeff Hendrick","NEW","M","438","FA","NEW 2<br/>@BUR 1 F","14.5","4.83","0%","0%","3","67","1","0","1","0","0","1","1","1","0","0","0","0","1","0","0","1","0","0","0","3","0"
