"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","Min","CS","GA","Sv","YC","RC","PKS","PKD","PKM","TkW","DIS","G","A","KP","AFKG","APKG","Int","CLR","AER","AC","HCS","Sm","OG","SOT"
"*05oef*","Alphonse Areola","WHU","G","38","FA","WHU 1<br/>@BHA 3 F","3.25","3.25","8%","0%","1","90","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0"
"*05osa*","Robin Olsen","EVE/AVL","G","39","FA","AVL 2<br/>@MCI 3 F","3.25","3.25","0%","0%","1","90","0","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","5","0","0","0"
"*03et4*","Willy Caballero","CHE/SOU","G","40","FA","SOU 1<br/>@LEI 4 F","1.75","0.88","0%","0%","2","180","0","5","6","1","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","0","0","0"
"*03yww*","Dean Henderson","MUN","G","56","FA","MUN 0<br/>@CRY 1 F","0","0","89%","-1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05oz4*","Karl Hein","ARS","G","55","FA","EVE 1<br/>@ARS 5 F","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04gyd*","Brandon Austin","TOT","G","42","FA","TOT 5<br/>@NOR 0 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03dwz*","Tom Heaton","MUN","G","54","FA","MUN 0<br/>@CRY 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05xtq*","Matthew Cox","BRF","G","47","FA","LEE 2<br/>@BRF 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05ubh*","Remi Matthews","CRY","G","66","FA","MUN 0<br/>@CRY 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02ls8*","Marcus Bettinelli","CHE","G","45","FA","WAT 1<br/>@CHE 2 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05n09*","Mark Gillespie","NEW","G","50","FA","NEW 2<br/>@BUR 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05rbn*","Thomas McGill","BHA","G","68","FA","WHU 1<br/>@BHA 3 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05rc7*","Harry Tyrer","EVE","G","85","FA","EVE 1<br/>@ARS 5 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05u40*","Ellery Balcombe","BRF","G","43","FA","LEE 2<br/>@BRF 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
