"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-"
"*062ds*","Matt Turner","NOT","G","878","FA","@MUN Sun 7:30AM","0","0","0%","0%"
"*073k1*","James Wilson","TOT","F","900","FA","@CHE Tue 3:15PM","0","0","0%","0%"
"*072z1*","Jerome Abbey","WOL","M","518","FA","FUL Sun 10:00AM","0","0","0%","0%"
"*06yb6*","Oluwaseun Adewumi","BUR","M","522","FA","@ARS Mon 3:00PM","0","0","0%","0%"
"*06r5r*","Matai Akinmboni","BOU","D","530","FA","MCI Tue 2:30PM","0","0","0%","0%"
"*072g3*","Sam Alabi","NEW","M","531","FA","WHU Sun 12:30PM","0","0","0%","0%"
"*05uh0*","Joseph Anderson","SUN","D","537","FA","@EVE Sun 10:00AM","0","0","0%","0%"
"*06xzn*","Abdoullah Ba","SUN","M","549","FA","@EVE Sun 10:00AM","0","0","0%","0%"
"*072zo*","Luka Bentt","BRF","M","558","FA","CRY Sun 10:00AM","0","0","0%","0%"
"*072c1*","Zyan Blake","NOT","F","564","FA","@MUN Sun 7:30AM","0","0","0%","0%"
"*06pru*","Aidan Borland","AVL","M","567","W <small>(Thu)</small>","LIV 2<br/>@AVL 4 F","0","0","0%","0%"
"*06pry*","Kaden Braithwaite","MCI","D","570","FA","@BOU Tue 2:30PM","0","0","0%","0%"
"*072h8*","Ben Casey","CRY","F","584","FA","@BRF Sun 10:00AM","0","0","0%","0%"
"*066iy*","Kaelan Casey","WHU","D","585","FA","@NEW Sun 12:30PM","0","0","0%","0%"
"*06zbv*","Justin Clarke","EVE","M","594","FA","SUN Sun 10:00AM","0","0","0%","0%"
"*06xzh*","Antonito Cordero","NEW","F","598","FA","WHU Sun 12:30PM","0","0","0%","0%"
"*072ga*","Malcom DaCosta","BOU","M","602","FA","MCI Tue 2:30PM","0","0","0%","0%"
"*06zrr*","Josh Davidson","LIV","D","605","W <small>(Thu)</small>","LIV 2<br/>@AVL 4 F","0","0","0%","0%"
"*06jgk*","Romain Faivre","BOU","M","628","FA","MCI Tue 2:30PM","0","0","0%","0%"
"*06zcd*","Preston Fearon","WHU","M","629","FA","@NEW Sun 12:30PM","0","0","0%","0%"
"*072cf*","Keyrol Figueroa","LIV","F","632","W <small>(Thu)</small>","LIV 2<br/>@AVL 4 F","0","0","0%","0%"
"*067z4*","David Datro Fofana","CHE","F","634","FA","TOT Tue 3:15PM","0","0","0%","0%"
"*063e8*","Goncalo Guedes","WOL","F","638","FA","FUL Sun 10:00AM","0","0","0%","0%"
"*06zcc*","Airidas Golambeckis","WHU","D","646","FA","@NEW Sun 12:30PM","0","0","0%","0%"
"*06lvm*","Tyrese Hall","TOT","M","660","FA","@CHE Tue 3:15PM","0","0","0%","0%"
"*035mq*","Isaac Hayden","NEW","M","670","FA","WHU Sun 12:30PM","0","0","0%","0%"
"*044nm*","Rob Holding","CRY","D","685","FA","@BRF Sun 10:00AM","0","0","0%","0%"
"*0730i*","Charlie Holland","CHE","M","686","FA","TOT Tue 3:15PM","0","0","0%","0%"
"*070eo*","Jenson Jones","SUN","M","698","FA","@EVE Sun 10:00AM","0","0","0%","0%"
"*06qx6*","Godwill Kukonki","MUN","D","712","FA","NOT Sun 7:30AM","0","0","0%","0%"
"*072pu*","Keiber Lamadrid","WHU","M","717","FA","@NEW Sun 12:30PM","0","0","0%","0%"
"*06xzo*","Jay Matete","SUN","M","735","FA","@EVE Sun 10:00AM","0","0","0%","0%"
"*04ylt*","Chris Mepham","BOU","D","746","FA","MCI Tue 2:30PM","0","0","0%","0%"
"*06nbu*","Stephen Mfuni","MCI","D","749","FA","@BOU Tue 2:30PM","0","0","0%","0%"
"*06rkq*","Kieran Morrison","LIV","M","758","W <small>(Thu)</small>","LIV 2<br/>@AVL 4 F","0","0","0%","0%"
"*05uhk*","Tyler Morton","LIV","M","759","W <small>(Thu)</small>","LIV 2<br/>@AVL 4 F","0","0","0%","0%"
"*06on6*","Anthony Munda","NEW","M","762","FA","WHU Sun 12:30PM","0","0","0%","0%"
"*06kud*","Amara Nallo","LIV","D","767","W <small>(Thu)</small>","LIV 2<br/>@AVL 4 F","0","0","0%","0%"
"*04mmx*","Michael Obafemi","BUR","F","778","FA","@ARS Mon 3:00PM","0","0","0%","0%"
"*06awp*","Travis Patterson","AVL","D","795","W <small>(Thu)</small>","LIV 2<br/>@AVL 4 F","0","0","0%","0%"
"*06xzk*","Timothee Pembele","SUN","D","798","FA","@EVE Sun 10:00AM","0","0","0%","0%"
"*06yjz*","Tommy Pilling","LIV","M","801","W <small>(Thu)</small>","LIV 2<br/>@AVL 4 F","0","0","0%","0%"
"*06fwj*","Alfie Pond","WOL","D","804","FA","FUL Sun 10:00AM","0","0","0%","0%"
"*06xzq*","Nazariy Rusyn","SUN","F","832","FA","@EVE Sun 10:00AM","0","0","0%","0%"
"*06on5*","Leo Shahar","NEW","D","845","FA","WHU Sun 12:30PM","0","0","0%","0%"
"*06po8*","Martin Sherif","EVE","F","847","FA","SUN Sun 10:00AM","0","0","0%","0%"
"*06xzp*","Luis Hemir Silva Semedo","SUN","F","849","FA","@EVE Sun 10:00AM","0","0","0%","0%"
"*06mmk*","Marko Stamenic","NOT","M","859","FA","@MUN Sun 7:30AM","0","0","0%","0%"
"*072p7*","Charlie Stevens","BOU","M","864","FA","MCI Tue 2:30PM","0","0","0%","0%"
"*06zbu*","Aled Thomas","EVE","D","869","FA","SUN Sun 10:00AM","0","0","0%","0%"
"*0643w*","Ryan Trevitt","BRF","M","875","FA","CRY Sun 10:00AM","0","0","0%","0%"
"*06v0x*","Tymur Tutierov","SUN","F","879","FA","@EVE Sun 10:00AM","0","0","0%","0%"
"*06kk4*","Franco Umeh-Chibueze","CRY","F","882","FA","@BRF Sun 10:00AM","0","0","0%","0%"
"*05wqy*","Joe White","NEW","M","890","FA","WHU Sun 12:30PM","0","0","0%","0%"
"*06nbq*","Caleb Wiley","CHE","D","894","FA","TOT Tue 3:15PM","0","0","0%","0%"
"*06zbr*","Harold William","BOU","D","895","FA","MCI Tue 2:30PM","0","0","0%","0%"
"*066tb*","Kadan Young","AVL","F","907","W <small>(Thu)</small>","LIV 2<br/>@AVL 4 F","0","0","0%","0%"
"*056at*","Jordan Zemura","BOU","D","909","FA","MCI Tue 2:30PM","0","0","0%","0%"
"*06unr*","Yasin Ozcan","AVL","D","914","W <small>(Thu)</small>","LIV 2<br/>@AVL 4 F","0","0","0%","0%"
"*05ymb*","Tayo Adaramola","CRY","D","521","FA","@BRF Sun 10:00AM","0","0","0%","0%"
"*07394*","Joshua Ajala","WHU","F","527","FA","@NEW Sun 12:30PM","0","0","0%","0%"
"*06ewp*","Samuel Amissah","FUL","D","536","FA","@WOL Sun 10:00AM","0","0","0%","0%"
"*06zcb*","Lanre Awesu","WHU","G","547","FA","@NEW Sun 12:30PM","0","0","0%","0%"
"*0700s*","Adam Berry","NOT","M","559","FA","@MUN Sun 7:30AM","0","0","0%","0%"
"*071xd*","George Brierley","BUR","M","571","FA","@ARS Mon 3:00PM","0","0","0%","0%"
"*06prw*","Ben Broggio","AVL","M","572","W <small>(Thu)</small>","LIV 2<br/>@AVL 4 F","0","0","0%","0%"
"*06c4r*","Darko Churlinov","BUR","F","591","FA","@ARS Mon 3:00PM","0","0","0%","0%"
"*05ux0*","Owen Dodgson","BUR","D","615","FA","@ARS Mon 3:00PM","0","0","0%","0%"
"*075qp*","Mathis Eboue","CHE","M","621","FA","TOT Tue 3:15PM","0","0","0%","0%"
"*05yf8*","Pierre Ekwah","SUN","M","623","FA","@EVE Sun 10:00AM","0","0","0%","0%"
"*073vo*","Finn Geragusyan","SUN","F","641","FA","@EVE Sun 10:00AM","0","0","0%","0%"
"*072iu*","Braiden Graham","EVE","F","651","FA","SUN Sun 10:00AM","0","0","0%","0%"
"*072x9*","Tye Hall","TOT","M","659","FA","@CHE Tue 3:15PM","0","0","0%","0%"
"*072dz*","Ben Hammond","NOT","D","661","FA","@MUN Sun 7:30AM","0","0","0%","0%"
"*06rnm*","Isaac Heath","EVE","F","671","FA","SUN Sun 10:00AM","0","0","0%","0%"
"*06jfq*","Travis Hernes","NEW","M","676","FA","WHU Sun 12:30PM","0","0","0%","0%"
"*06zbs*","Marcus Hill","CRY","G","680","FA","@BRF Sun 10:00AM","0","0","0%","0%"
"*06mfw*","Vaclav Hladky","BUR","G","682","FA","@ARS Mon 3:00PM","0","0","0%","0%"
"*06nva*","Mofe Jemide","CRY","D","694","FA","@BRF Sun 10:00AM","0","0","0%","0%"
"*06xzm*","Zak Johnson","SUN","D","695","FA","@EVE Sun 10:00AM","0","0","0%","0%"
"*06ygl*","George King","CRY","D","703","FA","@BRF Sun 10:00AM","0","0","0%","0%"
"*06rkr*","Trent Kone-Doherty","LIV","F","708","W <small>(Thu)</small>","LIV 2<br/>@AVL 4 F","0","0","0%","0%"
"*06zqj*","Ethan Laidlaw","BRF","F","716","FA","CRY Sun 10:00AM","0","0","0%","0%"
"*075sh*","Jayden Lienou","LEE","D","725","FA","BHA Sun 10:00AM","0","0","0%","0%"
"*06yxc*","Rory Mahady","LEE","G","730","FA","BHA Sun 10:00AM","0","0","0%","0%"
"*073q9*","Kian McMahon-Brown","BUR","F","741","FA","@ARS Mon 3:00PM","0","0","0%","0%"
"*06ews*","Dermot Mee","MUN","G","744","FA","NOT Sun 7:30AM","0","0","0%","0%"
"*06xzj*","David Mota Veiga Teixeira do Carmo","NOT","D","760","FA","@MUN Sun 7:30AM","0","0","0%","0%"
"*06rqa*","William Murdock","MUN","G","765","FA","NOT Sun 7:30AM","0","0","0%","0%"
"*075kd*","Talla Ndiaye","LIV","D","768","W <small>(Thu)</small>","LIV 2<br/>@AVL 4 F","0","0","0%","0%"
"*06v0w*","Trey Ogunsuyi","SUN","F","780","FA","@EVE Sun 10:00AM","0","0","0%","0%"
"*072hx*","Saheed Olagunju","WOL","D","782","FA","FUL Sun 10:00AM","0","0","0%","0%"
"*06mex*","Alex Paulsen","BOU","G","796","FA","MCI Tue 2:30PM","0","0","0%","0%"
"*070en*","Oliver Pimlott","BUR","F","802","FA","@ARS Mon 3:00PM","0","0","0%","0%"
"*06ppi*","Jack Porter","ARS","G","805","FA","BUR Mon 3:00PM","0","0","0%","0%"
"*071xf*","Brandon Pouani","BUR","F","806","FA","@ARS Mon 3:00PM","0","0","0%","0%"
"*06ie2*","Sam Proctor","AVL","G","808","W <small>(Thu)</small>","LIV 2<br/>@AVL 4 F","0","0","0%","0%"
"*073y1*","Khari Ranson","ARS","G","816","FA","BUR Mon 3:00PM","0","0","0%","0%"
"*06nve*","Luke Rawlings","WOL","M","817","FA","FUL Sun 10:00AM","0","0","0%","0%"
"*06nyy*","Junior Robinson","WHU","D","822","FA","@NEW Sun 12:30PM","0","0","0%","0%"
"*06nkh*","Reggie Rose","BRF","G","826","FA","CRY Sun 10:00AM","0","0","0%","0%"
"*072i1*","Leon Routh","AVL","D","827","W <small>(Thu)</small>","LIV 2<br/>@AVL 4 F","0","0","0%","0%"
"*066se*","Charles Sagoe Junior","ARS","F","834","FA","BUR Mon 3:00PM","0","0","0%","0%"
"*06uzm*","Shurandy Sambo","BUR","D","839","FA","@ARS Mon 3:00PM","0","0","0%","0%"
"*05xtr*","Teddy Sharman-Lowe","CHE","G","846","FA","TOT Tue 3:15PM","0","0","0%","0%"
"*06s7r*","Freddie Simmonds","BHA","D","851","FA","@LEE Sun 10:00AM","0","0","0%","0%"
"*070hm*","Luis Eduardo Soares da Silva","NOT","D","856","FA","@MUN Sun 7:30AM","0","0","0%","0%"
"*06nl8*","Luca Stephenson","LIV","M","862","W <small>(Thu)</small>","LIV 2<br/>@AVL 4 F","0","0","0%","0%"
"*072iv*","Ethan Sutherland","WOL","M","865","FA","FUL Sun 10:00AM","0","0","0%","0%"
"*072dy*","Jack Thompson","NOT","D","870","FA","@MUN Sun 7:30AM","0","0","0%","0%"
"*06xzl*","Nectarios Triantis","SUN","D","876","FA","@EVE Sun 10:00AM","0","0","0%","0%"
"*06uzs*","Tom Tweedy","BUR","F","880","FA","@ARS Mon 3:00PM","0","0","0%","0%"
"*05rka*","Reece Welch","EVE","D","888","FA","SUN Sun 10:00AM","0","0","0%","0%"
"*0700q*","Archie Whitehall","NOT","M","891","FA","@MUN Sun 7:30AM","0","0","0%","0%"
"*070eq*","Jack Whittaker","SUN","M","892","FA","@EVE Sun 10:00AM","0","0","0%","0%"
"*06617*","Keehan Willows","NOT","G","899","FA","@MUN Sun 7:30AM","0","0","0%","0%"
"*06avm*","James Wright","AVL","G","903","W <small>(Thu)</small>","LIV 2<br/>@AVL 4 F","0","0","0%","0%"
"*06qqm*","Callum Bates","EVE","M","555","FA","SUN Sun 10:00AM","0","0","0%","0%"
"*06zc1*","Carey Bloedorn","TOT","G","565","FA","@CHE Tue 3:15PM","0","0","0%","0%"
"*06ex2*","Aaron Bott","NOT","G","568","FA","@MUN Sun 7:30AM","0","0","0%","0%"
"*074vk*","Alfie Brooks","WOL","G","573","FA","FUL Sun 10:00AM","0","0","0%","0%"
"*06idv*","Elijah Campbell","EVE","D","580","FA","SUN Sun 10:00AM","0","0","0%","0%"
"*071xc*","Murray Campbell","BUR","D","581","FA","@ARS Mon 3:00PM","0","0","0%","0%"
"*072j7*","TJ Carroll","AVL","D","583","W <small>(Thu)</small>","LIV 2<br/>@AVL 4 F","0","0","0%","0%"
"*071xe*","Ellis Clark","BUR","M","592","FA","@ARS Mon 3:00PM","0","0","0%","0%"
"*07233*","Ellis Clark","BUR","M","593","FA","@ARS Mon 3:00PM","0","0","0%","0%"
"*0689t*","Michael Dacosta Gonzalez","BOU","F","603","FA","MCI Tue 2:30PM","0","0","0%","0%"
"*05rfp*","Harvey Davies","LIV","G","606","W <small>(Thu)</small>","LIV 2<br/>@AVL 4 F","0","0","0%","0%"
"*06on4*","Julian Eyestone","BRF","G","626","FA","CRY Sun 10:00AM","0","0","0%","0%"
"*06jgt*","Joe Gauci","AVL","G","639","W <small>(Thu)</small>","LIV 2<br/>@AVL 4 F","0","0","0%","0%"
"*062pb*","Owen Goodman","CRY","G","648","FA","@BRF Sun 10:00AM","0","0","0%","0%"
"*075jv*","Josh Gracey","WOL","G","650","FA","FUL Sun 10:00AM","0","0","0%","0%"
"*0746k*","Justin Hanks","NOT","D","662","FA","@MUN Sun 7:30AM","0","0","0%","0%"
"*06h1g*","Aidan Harris","NEW","G","665","FA","WHU Sun 12:30PM","0","0","0%","0%"
"*06ids*","Adam Harrison","NEW","G","667","FA","WHU Sun 12:30PM","0","0","0%","0%"
"*072gz*","Ronnie Hollingshead","AVL","G","687","W <small>(Thu)</small>","LIV 2<br/>@AVL 4 F","0","0","0%","0%"
"*06kx0*","Danny Imray","CRY","D","691","FA","@BRF Sun 10:00AM","0","0","0%","0%"
"*0746j*","Jackson Izquierdo","CRY","G","693","FA","@BRF Sun 10:00AM","0","0","0%","0%"
"*070ep*","Jayden Jones","SUN","M","697","FA","@EVE Sun 10:00AM","0","0","0%","0%"
"*073aa*","Mohamed Kone","AVL","M","709","W <small>(Thu)</small>","LIV 2<br/>@AVL 4 F","0","0","0%","0%"
"*070em*","Marley Leuluai","BUR","M","723","FA","@ARS Mon 3:00PM","0","0","0%","0%"
"*06mwx*","Conor McManus","BRF","M","742","FA","CRY Sun 10:00AM","0","0","0%","0%"
"*072jc*","Alfie McNally","FUL","G","743","FA","@WOL Sun 10:00AM","0","0","0%","0%"
"*06jfh*","Max Merrick","CHE","G","747","FA","TOT Tue 3:15PM","0","0","0%","0%"
"*06v0r*","Ben Middlemas","SUN","M","751","FA","@EVE Sun 10:00AM","0","0","0%","0%"
"*0722r*","Rhys Oakley","AVL","G","777","W <small>(Thu)</small>","LIV 2<br/>@AVL 4 F","0","0","0%","0%"
"*06l53*","Temple Ojinnaka","WOL","M","781","FA","FUL Sun 10:00AM","0","0","0%","0%"
"*072lp*","Malik Olayiwola","EVE","M","783","FA","SUN Sun 10:00AM","0","0","0%","0%"
"*06mwu*","Riley Owen","BRF","M","789","FA","CRY Sun 10:00AM","0","0","0%","0%"
"*072ce*","Carter Pinnington","LIV","D","803","W <small>(Thu)</small>","LIV 2<br/>@AVL 4 F","0","0","0%","0%"
"*072cd*","Nils Ramming","BHA","G","813","FA","@LEE Sun 10:00AM","0","0","0%","0%"
"*0620k*","Nayef Aguerd","WHU","D","915","FA","@NEW Sun 12:30PM","-0.5","-0.25","0%","0%"
"*06r9v*","Andres Garcia","AVL","D","916","W <small>(Thu)</small>","LIV 2<br/>@AVL 4 F","-1.25","-0.25","0%","0%"
"*06jfe*","Hakon Valdimarsson","BRF","G","917","FA","CRY Sun 10:00AM","-2","-2","0%","0%"
"*05746*","Emil Krafth","NEW","D","918","FA","WHU Sun 12:30PM","-2.25","-2.25","0%","0%"
