"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","MCS","GA","Sv","YC","RC","FS","PKS","PKD","PKM","TkW","DIS","G","A","A2","KP","AF","Int","IntB","CLR","CoS","AER","AC","HCS","Sm","OG","SOT"
"*03yww*","Dean Henderson","CRY","G","6","RyRob","CRY 1<br/>@LIV 1 F","21.49","10.75","89%","-1%","2","2","180","90","2","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","3","0","0","0"
"*062cw*","Stefan Ortega","MCI","G","25","FA","MCI 2<br/>@FUL 0 F","20.24","10.12","2%","0%","2","2","180","90","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","3","0","0","0"
"*06mga*","Mads Hermansen","LEI","G","17","FA","LEI 0<br/>@BOU 2 F","17.5","17.5","30%","-6%","1","1","90","0","1","7","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","2","0","0","0"
"*02lz0*","Emiliano Martinez","AVL","G","7","thomas","AVL 0<br/>@MUN 2 F","17.25","8.62","79%","-2%","2","2","180","0","3","6","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","3","0","0","0"
"*02lo6*","Daniel Bentley","WOL","G","36","FA","BRF 1<br/>@WOL 1 F","14.49","14.49","1%","0%","1","1","90","90","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0"
"*044ei*","Nick Pope","NEW","G","8","Mateta","EVE 1<br/>@NEW 0 F","14","14","70%","+4%","1","1","90","0","4","6","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","4","1","0","0"
"*05tqx*","David Raya","ARS","G","4","CC FC","ARS 2<br/>@SOU 1 F","11.99","6","99%","0%","2","2","180","90","2","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0"
"*04sjt*","Alisson","LIV","G","13","TRB","CRY 1<br/>@LIV 1 F","10.49","10.49","56%","-2%","1","1","90","90","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"*04u40*","Kepa","CHE/BOU","G","11","Noah B","LEI 0<br/>@BOU 2 F","9.74","9.74","3%","0%","1","1","90","90","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0"
"*04qor*","Bernd Leno","FUL","G","9","FA","MCI 2<br/>@FUL 0 F","8.25","8.25","58%","+7%","1","1","90","0","2","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"*04amh*","Aaron Ramsdale","ARS/SOU","G","12","Will","ARS 2<br/>@SOU 1 F","7.75","7.75","9%","-1%","1","1","90","0","1","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0"
"*04f6h*","Matz Sels","NOT","G","3","Brad","CHE 1<br/>@NOT 0 F","6.25","6.25","58%","+1%","1","1","90","0","1","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"*05oef*","Alphonse Areola","WHU","G","18","FA","WHU 3<br/>@IPS 1 F","6.25","6.25","8%","0%","1","1","90","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"*032f9*","Jordan Pickford","EVE","G","2","j.l.","EVE 1<br/>@NEW 0 F","5.25","5.25","95%","+1%","1","1","90","0","2","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0"
"*04yme*","Robert Sanchez","CHE","G","5","FA","CHE 1<br/>@NOT 0 F","3","3","61%","-11%","1","1","90","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0"
"*06clu*","Mark Flekken","BRF","G","1","Laeka B","BRF 1<br/>@WOL 1 F","2.75","2.75","0%","0%","1","1","90","0","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0"
"*06cmu*","Bart Verbruggen","BHA","G","15","Bobbo","BHA 4<br/>@TOT 1 F","2.5","2.5","66%","0%","1","1","90","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"*06dps*","Andre Onana","MUN","G","10","FA","AVL 0<br/>@MUN 2 F","2","2","3%","0%","1","1","90","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06cmb*","Guglielmo Vicario","TOT","G","19","FA","BHA 4<br/>@TOT 1 F","1","1","34%","-1%","1","1","90","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"*03p9y*","Alex Palmer","WBA/IPS","G","24","FA","WHU 3<br/>@IPS 1 F","0.75","0.75","0%","0%","1","1","90","0","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0"
"*045ob*","Caoimhin Kelleher","LIV","G","23","FA","CRY 1<br/>@LIV 1 F","0","0","91%","+1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06fuw*","Djordje Petrovic","CHE","G","84","FA","CHE 1<br/>@NOT 0 F","0","0","59%","-1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04mr4*","Martin Dubravka","NEW","G","22","FA","EVE 1<br/>@NEW 0 F","0","0","29%","-2%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05udg*","Jose Sa","WOL","G","14","STONKS","BRF 1<br/>@WOL 1 F","0","0","13%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04fk5*","Ederson","MCI","G","16","FA","MCI 2<br/>@FUL 0 F","0","0","11%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
