"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","G","KP","AT","SOT","TkW","DIS","YC","SYC","RC","ACNC","Int","CLR","CoS","AER","OG","GAD","CS"
"*02oox*","Kevin De Bruyne","MCI","M","1","RyRob","NOR 0<br/>@MCI 5 F","706.5","20.19","0%","0%","35","13","135","23","30","24","35","3","0","0","30","19","22","48","18","0","0","18"
"*03srg*","Trent Alexander-Arnold","LIV","D","2","Wee Joe","LIV 3<br/>@NEW 1 F","532","14","0%","0%","38","4","86","15","13","33","13","5","0","0","44","46","66","22","14","0","32","14"
"*03jv0*","Sadio Mane","LIV","F","3","Laeka B","LIV 3<br/>@NEW 1 F","518","14.8","0%","0%","35","18","59","10","36","33","57","3","0","0","10","14","7","67","39","0","0","12"
"*03aqp*","Mohamed Salah","LIV","F","4","Ryan C","LIV 3<br/>@NEW 1 F","512","15.06","97%","0%","34","19","60","10","59","6","66","1","0","0","5","8","2","52","16","0","0","16"
"*04qrc*","Raul Jimenez","WOL","F","5","Tim O","WOL 0<br/>@CHE 2 F","469.5","12.36","86%","-5%","38","17","49","7","43","12","68","3","0","0","5","14","33","60","85","0","0","15"
"*02m11*","Matt Doherty","WOL","D","6","Laeka B","WOL 0<br/>@CHE 2 F","463.25","12.87","1%","0%","36","4","21","8","16","28","13","1","0","0","7","38","43","29","118","0","4","12"
"*03u2b*","Adama Traore","WOL","F","7","Wee Joe","WOL 0<br/>@CHE 2 F","462","12.49","9%","0%","37","4","49","9","12","19","64","1","0","0","44","18","13","182","44","0","0","7"
"*03dyk*","Jamie Vardy","LEI","F","8","Laeka B","MUN 2<br/>@LEI 0 F","457","13.06","0%","0%","35","23","32","7","43","12","16","2","0","0","7","2","22","24","54","0","0","11"
"*037mo*","Willian","CHE","F","9","OATW","WOL 0<br/>@CHE 2 F","453","12.58","0%","0%","36","9","76","9","29","25","33","4","0","0","21","20","7","66","9","0","0","10"
"*03dyp*","Riyad Mahrez","MCI","M,F","10","Ryan C","NOR 0<br/>@MCI 5 F","446.5","13.53","0%","0%","33","11","60","14","32","14","36","0","0","0","7","19","8","52","11","0","0","11"
