"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","CS","GA","Sv","YC","PKS","KP","Int","CLR","AER"
"*044ei*","Nick Pope","BUR","G","1","Willy B","BHA 2<br/>@BUR 1 F","312","8.21","70%","+4%","38","15","50","120","1","1","3","2","24","21"
"*04mr4*","Martin Dubravka","NEW","G","2","NEAL","LIV 3<br/>@NEW 1 F","269.75","7.1","29%","-2%","38","11","58","139","0","0","0","1","35","10"
"*03yww*","Dean Henderson","SHU","G","3","Noah B","SHU 1<br/>@SOU 3 F","263","7.31","89%","-1%","36","13","33","97","2","1","1","0","28","16"
"*03dxv*","Kasper Schmeichel","LEI","G","4","RyRob","MUN 2<br/>@LEI 0 F","255","6.71","0%","0%","38","13","41","96","2","2","3","0","12","10"
"*04rhc*","Vicente Guaita","CRY","G","5","FA","TOT 1<br/>@CRY 1 F","241.75","6.91","0%","0%","35","10","42","111","1","0","0","0","39","17"
"*04rzm*","Rui Patricio","WOL","G","6","FA","WOL 0<br/>@CHE 2 F","233.75","6.15","0%","0%","38","13","40","90","0","2","0","2","11","9"
"*02ln1*","David de Gea","MUN","G","7","NEAL","MUN 2<br/>@LEI 0 F","228.75","6.02","0%","0%","38","13","36","95","2","0","0","0","15","9"
"*04fk5*","Ederson","MCI","G","8","BUK","NOR 0<br/>@MCI 5 F","226.25","6.46","11%","0%","35","16","28","68","3","0","1","2","25","13"
"*04qor*","Bernd Leno","ARS","G","9","Tim O","WAT 2<br/>@ARS 3 F","221.5","7.38","58%","+7%","30","7","39","113","2","1","0","0","26","9"
"*04fjy*","Mat Ryan","BHA","G","10","FA","BHA 2<br/>@BUR 1 F","217.75","5.73","0%","0%","38","9","54","117","0","0","0","2","23","12"
"*04amh*","Aaron Ramsdale","BOU","G","11","FA","BOU 3<br/>@EVE 1 F","213.75","5.78","9%","-1%","37","5","62","127","0","1","2","0","43","13"
"*02m4i*","Ben Foster","WAT","G","12","FA","WAT 2<br/>@ARS 3 F","208.5","5.49","0%","0%","38","9","64","117","1","1","1","1","30","11"
"*02lu3*","Tim Krul","NOR","G","13","Ryan C","NOR 0<br/>@MCI 5 F","196.5","5.46","0%","0%","36","5","68","131","4","2","0","1","34","17"
"*04sjt*","Alisson","LIV","G","14","Wee Joe","LIV 3<br/>@NEW 1 F","191.5","6.6","56%","-2%","29","13","23","58","0","0","1","1","22","5"
