year,week,t1_team,t2_team,t1_score,t2_score
2019,1,Phil Jones Moans,Tim's Team,141.75,116.0
2019,1,Alex's Historic Collapse Week 2 of 8,Brendan's Pool Boyz,77.0,114.5
2019,1,In Talks FC,Ole's Novelty Wheels,85.5,86.5
2019,1,KDB's LCL,Pepe Pig,112.25,133.25
2019,1,The team formerly known as Maupay FC,Romelu Bukake,106.0,60.0
2019,2,Pepe Pig,Phil Jones Moans,93.25,105.75
2019,2,Brendan's Pool Boyz,Tim's Team,47.5,91.75
2019,2,In Talks FC,KDB's LCL,110.0,119.5
2019,2,Ole's Novelty Wheels,The team formerly known as Maupay FC,89.75,39.75
2019,2,Romelu Bukake,Alex's Historic Collapse Week 2 of 8,106.5,78.5
2019,3,Phil Jones Moans,In Talks FC,98.75,148.5
2019,3,Alex's Historic Collapse Week 2 of 8,The team formerly known as Maupay FC,98.75,64.0
2019,3,Brendan's Pool Boyz,Pepe Pig,122.5,52.75
2019,3,KDB's LCL,Ole's Novelty Wheels,68.25,80.0
2019,3,Tim's Team,Romelu Bukake,54.5,74.0
2019,4,KDB's LCL,Phil Jones Moans,94.75,106.5
2019,4,In Talks FC,Brendan's Pool Boyz,134.5,108.25
2019,4,Ole's Novelty Wheels,Alex's Historic Collapse Week 2 of 8,92.75,145.25
2019,4,Romelu Bukake,Pepe Pig,95.25,129.0
2019,4,The team formerly known as Maupay FC,Tim's Team,61.0,105.25
2019,5,Phil Jones Moans,Ole's Novelty Wheels,119.25,97.0
2019,5,Brendan's Pool Boyz,KDB's LCL,100.75,103.5
2019,5,Pepe Pig,The team formerly known as Maupay FC,107.0,83.0
2019,5,Romelu Bukake,In Talks FC,116.75,105.25
2019,5,Tim's Team,Alex's Historic Collapse Week 2 of 8,79.25,123.5
2019,6,Phil Jones Moans,Brendan's Pool Boyz,105.75,91.75
2019,6,Alex's Historic Collapse Week 2 of 8,Pepe Pig,72.25,75.5
2019,6,KDB's LCL,Romelu Bukake,70.0,54.25
2019,6,Ole's Novelty Wheels,Tim's Team,114.25,103.25
2019,6,The team formerly known as Maupay FC,In Talks FC,115.75,108.5
2019,7,Romelu Bukake,Phil Jones Moans,68.5,126.0
2019,7,Brendan's Pool Boyz,Ole's Novelty Wheels,78.75,87.75
2019,7,In Talks FC,Alex's Historic Collapse Week 2 of 8,107.25,98.25
2019,7,Pepe Pig,Tim's Team,97.5,65.5
2019,7,The team formerly known as Maupay FC,KDB's LCL,93.75,78.75
2019,8,Phil Jones Moans,The team formerly known as Maupay FC,52.25,46.0
2019,8,Alex's Historic Collapse Week 2 of 8,KDB's LCL,113.25,101.0
2019,8,Brendan's Pool Boyz,Romelu Bukake,92.25,119.75
2019,8,Ole's Novelty Wheels,Pepe Pig,109.25,40.75
2019,8,Tim's Team,In Talks FC,84.25,78.5
2019,9,Alex's Historic Collapse Week 2 of 8,Phil Jones Moans,58.25,46.5
2019,9,In Talks FC,Pepe Pig,108.0,71.5
2019,9,KDB's LCL,Tim's Team,103.75,82.5
2019,9,Romelu Bukake,Ole's Novelty Wheels,74.5,102.5
2019,9,The team formerly known as Maupay FC,Brendan's Pool Boyz,79.75,115.5
2019,10,Tim's Team,Phil Jones Moans,60.0,26.5
2019,10,Brendan's Pool Boyz,Alex's Historic Collapse Week 2 of 8,130.0,109.5
2019,10,Ole's Novelty Wheels,In Talks FC,140.5,33.5
2019,10,Pepe Pig,KDB's LCL,71.0,149.5
2019,10,Romelu Bukake,The team formerly known as Maupay FC,24.0,149.25
2019,11,Phil Jones Moans,Pepe Pig,50.5,112.0
2019,11,Alex's Historic Collapse Week 2 of 8,Romelu Bukake,152.25,37.75
2019,11,KDB's LCL,In Talks FC,85.5,71.0
