"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","Min","G","A","KP","AFKG","APKG","SOT","TkW","DIS","YC","RC","ACNC","Int","CLR","CoS","BS","AER","PKM","OG","GAO","CS"
"*051lc*","Pablo Fornals","WHU","M","66","Yum","SOU 0<br/>@WHU 3 F","278.5","8.44","0%","0%","33","2,574","5","4","31","0","0","16","26","21","3","0","6","36","7","29","1","23","0","0","33","9"
"*0524k*","Rodri","MCI","M","67","FA","EVE 0<br/>@MCI 5 F","276.75","8.14","76%","-2%","34","2,745","2","2","33","0","0","8","40","22","6","0","2","36","54","28","9","80","0","0","27","13"
"*02w6w*","Ashley Westwood","BUR","M","68","I_am_Tim","BUR 0<br/>@SHU 1 F","276","7.26","0%","0%","38","3,410","3","3","53","0","0","7","15","11","7","0","23","44","30","13","9","14","0","0","55","11"
"*0327r*","Michael Keane","EVE","D","69","Tim O","EVE 0<br/>@MCI 5 F","273.25","7.81","71%","+3%","35","2,988","3","1","7","0","0","6","15","5","4","0","0","51","156","4","33","111","0","0","43","11"
"*04fw3*","Alexandre Lacazette","ARS","F","70","JADON","BHA 0<br/>@ARS 2 F","270","8.71","0%","0%","31","1,914","13","2","22","0","0","29","10","31","3","0","0","12","13","22","1","28","0","0","21","8"
"*05mzw*","Luke Ayling","LEE","D","71","RyRob","WBA 1<br/>@LEE 3 F","269","7.08","0%","0%","38","3,400","0","0","27","0","0","6","61","21","7","0","14","36","77","41","36","66","0","0","54","12"
"*04sft*","Yves Bissouma","BHA","M","72","JADON","BHA 0<br/>@ARS 2 F","268","7.44","2%","0%","36","3,108","1","0","16","0","0","3","68","29","8","1","1","64","64","53","6","38","0","0","42","11"
"*04agz*","Declan Rice","WHU","M","73","RyRob","SOU 0<br/>@WHU 3 F","266.75","8.34","100%","0%","32","2,878","2","1","23","0","0","8","36","19","2","0","8","59","35","29","11","44","1","0","37","11"
"*04aiz*","Wilfred Ndidi","LEI","M","76","No Slips","TOT 4<br/>@LEI 2 F","264.25","10.16","0%","0%","26","2,176","1","4","16","0","0","1","63","14","6","0","0","61","52","16","11","57","0","0","31","7"
"*0522t*","Anwar El Ghazi","AVL","M","77","Yum","CHE 1<br/>@AVL 2 F","263.75","9.42","0%","0%","28","1,597","10","0","26","0","0","30","13","35","2","0","14","6","10","26","0","28","0","0","22","5"
