"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","Min","CS","GA","Sv","YC","RC","PKS","PKM","TkW","DIS","G","A","KP","AFKG","APKG","Int","CLR","AER","AC","OG","SOT"
"*03274*","Adrian","LIV","G","30","FA","CRY 0<br/>@LIV 2 F","12.5","4.17","0%","0%","3","270","1","9","10","0","0","0","0","0","0","0","0","0","0","0","0","6","1","0","0","0"
"*0579j*","Scott Carson","MCI","G","31","FA","EVE 0<br/>@MCI 5 F","6","6","0%","0%","1","90","0","3","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04tsc*","Joao Virginia","EVE","G","32","FA","EVE 0<br/>@MCI 5 F","6","6","0%","0%","1","46","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02t13*","David Button","WBA","G","33","FA","WBA 1<br/>@LEE 3 F","5.5","5.5","0%","0%","1","90","0","2","4","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0"
"*02m3v*","John Ruddy","WOL","G","34","FA","MUN 2<br/>@WOL 1 F","5","2.5","0%","0%","2","91","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"*05oif*","Runar Alex Runarsson","ARS","G","35","FA","BHA 0<br/>@ARS 2 F","4","4","-","-","1","15","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*032aa*","Jack Butland","STK/CRY","G","36","FA","CRY 0<br/>@LIV 2 F","2","2","0%","0%","1","90","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05oz3*","James Trafford","MCI","G","68","FA","EVE 0<br/>@MCI 5 F","0","0","21%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04rha*","Jason Steele","BHA","G","64","FA","BHA 0<br/>@ARS 2 F","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05oz4*","Karl Hein","ARS","G","46","FA","BHA 0<br/>@ARS 2 F","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05n0a*","Wes Foderingham","SHU","G","41","FA","BUR 0<br/>@SHU 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03dwz*","Tom Heaton","AVL","G","45","FA","CHE 1<br/>@AVL 2 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05n09*","Mark Gillespie","NEW","G","42","FA","NEW 2<br/>@FUL 0 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
