"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","CS","GA","Sv","YC","PKS","KP","Int","CLR","AER"
"*02w72*","Hugo Lloris","TOT","G","15","Laeka B","TOT 1<br/>@CRY 1 F","26.75","26.75","0%","0%","1","1","0","5","0","1","0","0","3","0"
"*02lu3*","Tim Krul","NOR","G","13","Ryan C","NOR 0<br/>@MCI 5 F","21","21","0%","0%","1","1","0","6","0","0","0","0","0","1"
"*04rzm*","Rui Patricio","WOL","G","6","FA","WOL 0<br/>@CHE 2 F","18","18","0%","0%","1","1","0","5","0","0","0","0","0","0"
"*04sjt*","Alisson","LIV","G","14","Wee Joe","LIV 3<br/>@NEW 1 F","16.25","16.25","56%","-2%","1","1","0","4","0","0","0","0","1","0"
"*04mr4*","Martin Dubravka","NEW","G","2","NEAL","LIV 3<br/>@NEW 1 F","16","16","29%","-2%","1","1","0","4","0","0","0","0","0","0"
"*03yww*","Dean Henderson","SHU","G","3","Noah B","SHU 1<br/>@SOU 3 F","15.5","15.5","89%","-1%","1","1","0","3","0","0","0","0","2","1"
"*02ln1*","David de Gea","MUN","G","7","NEAL","MUN 2<br/>@LEI 0 F","14","14","0%","0%","1","1","0","3","0","0","0","0","0","0"
"*04qor*","Bernd Leno","ARS","G","9","Tim O","WAT 2<br/>@ARS 3 F","13.5","13.5","58%","+7%","1","1","0","2","0","0","0","0","2","1"
"*044ei*","Nick Pope","BUR","G","1","Willy B","BHA 2<br/>@BUR 1 F","12.25","12.25","70%","+4%","1","1","0","2","0","0","0","0","1","0"
"*04amh*","Aaron Ramsdale","BOU","G","11","FA","BOU 3<br/>@EVE 1 F","6.25","6.25","9%","-1%","1","0","1","4","0","0","0","0","1","0"
"*04rhc*","Vicente Guaita","CRY","G","5","FA","TOT 1<br/>@CRY 1 F","5.25","5.25","0%","0%","1","0","1","3","0","0","0","0","1","1"
"*03eka*","Pepe Reina","LIV/AVL","G","23","FA","AVL 1<br/>@WHU 1 F","5.25","5.25","0%","0%","1","0","2","4","0","0","0","0","1","1"
"*02lym*","Lukasz Fabianski","WHU","G","18","FA","AVL 1<br/>@WHU 1 F","3.5","3.5","0%","0%","1","0","3","4","0","0","0","0","2","1"
"*02t20*","Alex McCarthy","SOU","G","16","FA","SHU 1<br/>@SOU 3 F","3","3","0%","0%","1","0","4","5","0","0","0","0","0","1"
"*04fjy*","Mat Ryan","BHA","G","10","FA","BHA 2<br/>@BUR 1 F","2.25","2.25","0%","0%","1","0","3","3","0","0","0","0","1","2"
"*03et4*","Willy Caballero","CHE","G","28","FA","WOL 0<br/>@CHE 2 F","0.25","0.25","0%","0%","1","0","2","2","0","0","0","0","1","0"
"*045ob*","Caoimhin Kelleher","LIV","G","52","FA","LIV 3<br/>@NEW 1 F","0","0","91%","+1%","0","0","0","0","0","0","0","0","0","0"
"*02lz0*","Emiliano Martinez","ARS","G","22","OATW","WAT 2<br/>@ARS 3 F","0","0","79%","-2%","0","0","0","0","0","0","0","0","0","0"
"*03pif*","Karl Darlow","NEW","G","41","FA","LIV 3<br/>@NEW 1 F","0","0","18%","-12%","0","0","0","0","0","0","0","0","0","0"
"*04u40*","Kepa","CHE","G","21","FA","WOL 0<br/>@CHE 2 F","0","0","3%","0%","0","0","0","0","0","0","0","0","0","0"
"*04rha*","Jason Steele","BHA","G","67","FA","BHA 2<br/>@BUR 1 F","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0"
"*04vy4*","Mark Travers","BOU","G","76","FA","BOU 3<br/>@EVE 1 F","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0"
"*04gyd*","Brandon Austin","TOT","G","34","FA","TOT 1<br/>@CRY 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*03dwz*","Tom Heaton","AVL","G","19","FA","AVL 1<br/>@WHU 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*044i7*","Angus Gunn","SOU","G","26","FA","SHU 1<br/>@SOU 3 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*056as*","William Dennis","BOU","G","42","FA","BOU 3<br/>@EVE 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*033l8*","Simon Moore","SHU","G","75","FA","SHU 1<br/>@SOU 3 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*02m3v*","John Ruddy","WOL","G","64","FA","WOL 0<br/>@CHE 2 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*02ltw*","Fraser Forster","SOU","G","45","FA","SHU 1<br/>@SOU 3 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*03am9*","Daniel Bachmann","WAT","G","35","FA","WAT 2<br/>@ARS 3 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*02xc9*","Artur Boruc","BOU","G","36","FA","BOU 3<br/>@EVE 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*0477f*","Claudio Bravo","MCI","G","30","FA","NOR 0<br/>@MCI 5 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*02t13*","David Button","BHA","G","37","FA","BHA 2<br/>@BUR 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*0579j*","Scott Carson","MCI","G","38","FA","NOR 0<br/>@MCI 5 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*0527i*","Ralf Fahrmann","NOR","G","44","FA","NOR 0<br/>@MCI 5 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*02t1m*","Paulo Gazzaniga","TOT","G","20","FA","TOT 1<br/>@CRY 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*047l3*","Lee Grant","MUN","G","46","FA","MUN 2<br/>@LEI 0 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*02m1g*","Wayne Hennessey","CRY","G","27","FA","TOT 1<br/>@CRY 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*0328y*","Eldin Jakupovic","LEI","G","48","FA","MUN 2<br/>@LEI 0 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*052ce*","Vitezslav Jaros","LIV","G","49","FA","LIV 3<br/>@NEW 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*05l2y*","Lukas Jensen","BUR","G","50","FA","BHA 2<br/>@BUR 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*051jx*","Lovre Kalinic","AVL","G","51","FA","AVL 1<br/>@WHU 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*04ufy*","Matej Kovar","MUN","G","53","FA","MUN 2<br/>@LEI 0 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*0452n*","Harry Lewis","SOU","G","54","FA","SHU 1<br/>@SOU 3 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*054oz*","Andy Lonergan","LIV","G","55","FA","LIV 3<br/>@NEW 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*03m0y*","Matt Macey","ARS","G","56","FA","WAT 2<br/>@ARS 3 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*05246*","David Martin","WHU","G","25","FA","AVL 1<br/>@WHU 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*051ka*","Michael McGovern","NOR","G","31","FA","NOR 0<br/>@MCI 5 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*04gw6*","Arijanet Muric","MCI","G","58","FA","NOR 0<br/>@MCI 5 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*04tsc*","Joao Virginia","EVE","G","59","FA","BOU 3<br/>@EVE 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*04qqx*","Will Norris","WOL","G","60","FA","WOL 0<br/>@CHE 2 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*051jw*","Orjan Nyland","AVL","G","29","FA","AVL 1<br/>@WHU 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*05g34*","Adam Parkes","WAT","G","61","FA","WAT 2<br/>@ARS 3 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*056is*","Bailey Peacock-Farrell","BUR","G","62","FA","BHA 2<br/>@BUR 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*03rll*","Darren Randolph","WHU","G","32","FA","AVL 1<br/>@WHU 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*03sgd*","Sergio Romero","MUN","G","63","FA","MUN 2<br/>@LEI 0 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*03274*","Adrian","LIV","G","24","FA","LIV 3<br/>@NEW 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*051jy*","Matija Sarkic","AVL","G","65","FA","AVL 1<br/>@WHU 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*056pe*","Andreas Sondergaard","WOL","G","66","FA","WOL 0<br/>@CHE 2 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*02m3y*","Jed Steer","AVL","G","68","FA","AVL 1<br/>@WHU 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*0329d*","Maarten Stekelenburg","EVE","G","69","FA","BOU 3<br/>@EVE 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*02t1a*","Danny Ward","LEI","G","71","FA","MUN 2<br/>@LEI 0 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*048xn*","Alfie Whiteman","TOT","G","72","FA","TOT 1<br/>@CRY 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*02loi*","Heurelho Gomes","WAT","G","74","FA","WAT 2<br/>@ARS 3 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0"
"*05amw*","Joseph Anang","WHU","G","33","FA","AVL 1<br/>@WHU 1 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*03yxo*","Joel Pereira","MUN","G","39","FA","MUN 2<br/>@LEI 0 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*04ybh*","Jamie Cumming","CHE","G","40","FA","WOL 0<br/>@CHE 2 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*051ky*","Jake Eastwood","SHU","G","43","FA","SHU 1<br/>@SOU 3 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*02onc*","Stephen Henderson","CRY","G","47","FA","TOT 1<br/>@CRY 1 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*059tt*","Archie Mair","NOR","G","57","FA","NOR 0<br/>@MCI 5 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05796*","Michael Verrips","SHU","G","70","FA","SHU 1<br/>@SOU 3 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0"
"*05alt*","Ben Winterbottom","LIV","G","73","FA","LIV 3<br/>@NEW 1 F","0","0","-","-","0","0","0","0","0","0","0","0","0","0"
