"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","MCS","GA","Sv","YC","RC","FS","PKS","PKD","PKM","TkW","DIS","G","A","A2","KP","AF","Int","IntB","CLR","AER","AC","HCS","Sm","OG","SOT"
"*02lo6*","Daniel Bentley","WOL","G","29","FA","WOL 0<br/>@ARS 5 F","26","13","1%","0%","2","2","180","0","3","11","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","4","0","0","0"
"*05osa*","Robin Olsen","AVL","G","30","FA","BHA 1<br/>@AVL 2 F","24.5","6.13","0%","0%","4","2","279","90","8","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","5","1","0","0"
"*02yd6*","Joel Robles","EVE/LEE","G","31","FA","TOT 4<br/>@LEE 1 F","23","5.75","0%","0%","4","4","360","0","11","16","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","3","0","1","1","0","0"
"*04mr4*","Martin Dubravka","NEW/MUN","G","32","YUM","NEW 1<br/>@CHE 1 F","20.25","10.12","29%","-2%","2","1","155","0","1","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"*02lw2*","Asmir Begovic","EVE","G","33","FA","BOU 0<br/>@EVE 1 F","16.75","16.75","0%","0%","1","1","90","90","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","1","0","0","0"
"*05oef*","Alphonse Areola","WHU","G","34","FA","WHU 1<br/>@LEI 2 F","15.58","3.12","8%","0%","5","2","305","20","7","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","2","0","0"
"*02m1g*","Wayne Hennessey","NOT","G","35","FA","NOT 1<br/>@CRY 1 F","15.32","3.83","0%","0%","4","3","271","1","5","9","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
"*02t20*","Alex McCarthy","SOU","G","36","FA","LIV 4<br/>@SOU 4 F","15.25","2.54","0%","0%","6","6","540","0","17","14","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","7","1","0","4","0","0","0"
"*04rex*","Marek Rodak","FUL","G","37","FA","FUL 1<br/>@MUN 2 F","12.5","6.25","0%","0%","2","2","180","90","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","2","0","0"
"*045ob*","Caoimhin Kelleher","LIV","G","38","Laeka B","LIV 4<br/>@SOU 4 F","7","7","91%","+1%","1","1","90","0","4","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"*062pa*","Joseph Whitworth","CRY","G","39","FA","NOT 1<br/>@CRY 1 F","6.25","3.12","0%","0%","2","2","180","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0"
"*03pif*","Karl Darlow","NEW","G","52","FA","NEW 1<br/>@CHE 1 F","0","0","18%","-12%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*063c2*","Gabriel Slonina","CHE","G","81","FA","NEW 1<br/>@CHE 1 F","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05oz4*","Karl Hein","ARS","G","61","FA","WOL 0<br/>@ARS 5 F","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04gyd*","Brandon Austin","TOT","G","41","FA","TOT 4<br/>@LEE 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03dwz*","Tom Heaton","MUN","G","59","FA","FUL 1<br/>@MUN 2 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05xtq*","Matthew Cox","BRF","G","50","FA","MCI 0<br/>@BRF 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02ls8*","Marcus Bettinelli","CHE","G","44","FA","NEW 1<br/>@CHE 1 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
